TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	9.521094e-002	9.521094e-002	0.000000e+000	0.000000e+000	1.209420e-005	2.735718e-008	0.000000e+000	0.000000e+000	0.000000e+000	1.212156e-005	0.000000e+000	       NaN
1.000000e-001	9.521094e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209420e-005	2.735718e-008	0.000000e+000	0.000000e+000	6.024044e-021	1.212156e-005	-6.024044e-021	       NaN
2.000000e-001	9.521094e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209420e-005	2.735718e-008	0.000000e+000	0.000000e+000	6.024044e-021	1.212156e-005	-6.024044e-021	       NaN
3.000000e-001	9.521094e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209420e-005	2.735718e-008	0.000000e+000	0.000000e+000	4.633880e-022	1.212156e-005	-4.633880e-022	       NaN
4.000000e-001	9.521094e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209420e-005	2.735722e-008	0.000000e+000	0.000000e+000	-2.398543e-017	1.212156e-005	2.398543e-017	       NaN
5.000000e-001	9.521094e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209422e-005	2.736133e-008	0.000000e+000	0.000000e+000	-4.927223e-015	1.212158e-005	4.927223e-015	       NaN
6.000000e-001	9.521095e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209467e-005	2.746569e-008	0.000000e+000	0.000000e+000	-2.085188e-013	1.212214e-005	2.085188e-013	       NaN
7.000000e-001	9.521103e-002	9.521094e-002	0.000000e+000	1.000000e+000	1.209962e-005	2.833792e-008	0.000000e+000	0.000000e+000	-3.071752e-012	1.212796e-005	3.071752e-012	       NaN
8.000000e-001	9.521160e-002	9.521095e-002	0.000000e+000	1.000000e+000	1.212418e-005	3.151496e-008	0.000000e+000	0.000000e+000	-2.166553e-011	1.215567e-005	2.166553e-011	       NaN
9.000000e-001	9.521370e-002	9.521101e-002	0.000000e+000	1.000000e+000	1.219139e-005	3.734837e-008	0.000000e+000	0.000000e+000	-8.990598e-011	1.222865e-005	8.990598e-011	       NaN
1.000000e+000	9.521874e-002	9.521118e-002	0.000000e+000	1.000000e+000	1.230560e-005	4.262420e-008	0.000000e+000	0.000000e+000	-2.524517e-010	1.234797e-005	2.524517e-010	       NaN
1.100000e+000	9.522746e-002	9.521160e-002	0.000000e+000	1.000000e+000	1.243328e-005	4.300058e-008	0.000000e+000	0.000000e+000	-5.295203e-010	1.247575e-005	5.295203e-010	       NaN
1.200000e+000	9.523908e-002	9.521237e-002	0.000000e+000	1.000000e+000	1.252388e-005	3.764184e-008	0.000000e+000	0.000000e+000	-8.920129e-010	1.256063e-005	8.920129e-010	       NaN
1.300000e+000	9.525173e-002	9.521355e-002	0.000000e+000	1.000000e+000	1.254747e-005	2.972776e-008	0.000000e+000	0.000000e+000	-1.274740e-009	1.257592e-005	1.274740e-009	       NaN
1.400000e+000	9.526342e-002	9.521513e-002	0.000000e+000	1.000000e+000	1.250933e-005	2.315246e-008	0.000000e+000	0.000000e+000	-1.612247e-009	1.253087e-005	1.612247e-009	       NaN
1.500000e+000	9.527291e-002	9.521704e-002	0.000000e+000	1.000000e+000	1.243658e-005	1.982508e-008	0.000000e+000	0.000000e+000	-1.865634e-009	1.245454e-005	1.865634e-009	       NaN
1.600000e+000	9.527988e-002	9.521917e-002	0.000000e+000	1.000000e+000	1.235759e-005	1.947315e-008	0.000000e+000	0.000000e+000	-2.027251e-009	1.237503e-005	2.027251e-009	       NaN
1.700000e+000	9.528463e-002	9.522143e-002	0.000000e+000	1.000000e+000	1.229020e-005	2.082584e-008	0.000000e+000	0.000000e+000	-2.110448e-009	1.230891e-005	2.110448e-009	       NaN
1.800000e+000	9.528773e-002	9.522375e-002	0.000000e+000	1.000000e+000	1.224069e-005	2.268306e-008	0.000000e+000	0.000000e+000	-2.136496e-009	1.226123e-005	2.136496e-009	       NaN
1.900000e+000	9.528973e-002	9.522607e-002	0.000000e+000	1.000000e+000	1.220789e-005	2.434101e-008	0.000000e+000	0.000000e+000	-2.125619e-009	1.223011e-005	2.125619e-009	       NaN
2.000000e+000	9.529106e-002	9.522837e-002	0.000000e+000	1.000000e+000	1.218766e-005	2.555199e-008	0.000000e+000	0.000000e+000	-2.093186e-009	1.221112e-005	2.093186e-009	       NaN
2.100000e+000	9.529200e-002	9.523063e-002	0.000000e+000	1.000000e+000	1.217570e-005	2.633031e-008	0.000000e+000	0.000000e+000	-2.049356e-009	1.219998e-005	2.049356e-009	       NaN
2.200000e+000	9.529274e-002	9.523284e-002	0.000000e+000	1.000000e+000	1.216866e-005	2.678627e-008	0.000000e+000	0.000000e+000	-2.000198e-009	1.219345e-005	2.000198e-009	       NaN
2.300000e+000	9.529336e-002	9.523499e-002	0.000000e+000	1.000000e+000	1.216437e-005	2.703484e-008	0.000000e+000	0.000000e+000	-1.949066e-009	1.218946e-005	1.949066e-009	       NaN
2.400000e+000	9.529392e-002	9.523709e-002	0.000000e+000	1.000000e+000	1.216153e-005	2.716271e-008	0.000000e+000	0.000000e+000	-1.897691e-009	1.218680e-005	1.897691e-009	       NaN
2.500000e+000	9.529444e-002	9.523913e-002	0.000000e+000	1.000000e+000	1.215943e-005	2.722542e-008	0.000000e+000	0.000000e+000	-1.846916e-009	1.218480e-005	1.846916e-009	       NaN
2.600000e+000	9.529493e-002	9.524111e-002	0.000000e+000	1.000000e+000	1.215769e-005	2.725498e-008	0.000000e+000	0.000000e+000	-1.797127e-009	1.218315e-005	1.797127e-009	       NaN
2.700000e+000	9.529541e-002	9.524304e-002	0.000000e+000	1.000000e+000	1.215615e-005	2.726850e-008	0.000000e+000	0.000000e+000	-1.748481e-009	1.218167e-005	1.748481e-009	       NaN
2.800000e+000	9.529587e-002	9.524492e-002	0.000000e+000	1.000000e+000	1.215471e-005	2.727459e-008	0.000000e+000	0.000000e+000	-1.701034e-009	1.218028e-005	1.701034e-009	       NaN
2.900000e+000	9.529631e-002	9.524675e-002	0.000000e+000	1.000000e+000	1.215334e-005	2.727738e-008	0.000000e+000	0.000000e+000	-1.654790e-009	1.217896e-005	1.654790e-009	       NaN
