TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	9.520932e-002	9.520932e-002	9.520932e-002	0.000000e+000	1.212506e-005	1.182518e-008	0.000000e+000	0.000000e+000	-2.900458e-020	1.213688e-005	2.900458e-020	0.000000e+000
1.000000e-001	9.520932e-002	9.520932e-002	9.520932e-002	1.000000e+000	1.212506e-005	1.182518e-008	0.000000e+000	0.000000e+000	2.900458e-020	1.213688e-005	-2.900458e-020	0.000000e+000
2.000000e-001	9.520932e-002	9.520932e-002	9.520932e-002	1.000000e+000	1.212506e-005	1.182518e-008	0.000000e+000	0.000000e+000	-1.160183e-019	1.213688e-005	1.160183e-019	0.000000e+000
3.000000e-001	9.520932e-002	9.520932e-002	9.520932e-002	1.000000e+000	1.212506e-005	1.182529e-008	0.000000e+000	0.000000e+000	-4.209028e-015	1.213688e-005	4.176926e-015	3.210208e-017
4.000000e-001	9.520932e-002	9.520932e-002	9.520932e-002	1.000000e+000	1.212523e-005	1.186583e-008	0.000000e+000	0.000000e+000	-2.183073e-012	1.213709e-005	2.157472e-012	2.560019e-014
5.000000e-001	9.520944e-002	9.520938e-002	9.520932e-002	1.000000e+000	1.213374e-005	1.348134e-008	0.000000e+000	0.000000e+000	-1.249662e-010	1.214710e-005	1.228390e-010	2.127110e-012
6.000000e-001	9.521152e-002	9.521059e-002	9.520933e-002	1.000000e+000	1.225185e-005	3.094009e-008	0.000000e+000	0.000000e+000	-1.952987e-009	1.228084e-005	1.906739e-009	4.624708e-011
7.000000e-001	9.522741e-002	9.522104e-002	9.520944e-002	1.000000e+000	1.295123e-005	1.097809e-007	0.000000e+000	0.000000e+000	-1.332304e-008	1.304768e-005	1.289669e-008	4.263528e-010
8.000000e-001	9.529442e-002	9.526972e-002	9.521014e-002	1.000000e+000	1.522414e-005	2.968254e-007	0.000000e+000	0.000000e+000	-5.162446e-008	1.546934e-005	4.943284e-008	2.191625e-009
9.000000e-001	9.547840e-002	9.541466e-002	9.521286e-002	1.000000e+000	1.992797e-005	5.540565e-007	0.000000e+000	0.000000e+000	-1.332065e-007	2.034882e-005	1.257833e-007	7.423241e-009
1.000000e+000	9.584391e-002	9.572256e-002	9.522049e-002	1.000000e+000	2.668206e-005	7.423566e-007	0.000000e+000	0.000000e+000	-2.536280e-007	2.717079e-005	2.351600e-007	1.846800e-008
1.100000e+000	9.640867e-002	9.622573e-002	9.523705e-002	1.000000e+000	3.365058e-005	7.308739e-007	0.000000e+000	0.000000e+000	-3.823367e-007	3.399912e-005	3.459691e-007	3.636759e-008
1.200000e+000	9.712300e-002	9.689319e-002	9.526649e-002	1.000000e+000	3.860708e-005	5.081908e-007	0.000000e+000	0.000000e+000	-4.803102e-007	3.863496e-005	4.204739e-007	5.983638e-008
1.300000e+000	9.789108e-002	9.764073e-002	9.531132e-002	1.000000e+000	4.024742e-005	1.798465e-007	0.000000e+000	0.000000e+000	-5.232315e-007	3.990404e-005	4.375465e-007	8.568503e-008
1.400000e+000	9.861370e-002	9.836921e-002	9.537186e-002	1.000000e+000	3.868426e-005	-1.198889e-007	0.000000e+000	0.000000e+000	-5.109775e-007	3.805340e-005	4.007230e-007	1.102545e-007
1.500000e+000	9.922240e-002	9.900181e-002	9.544640e-002	1.000000e+000	3.502586e-005	-3.072542e-007	0.000000e+000	0.000000e+000	-4.610292e-007	3.425758e-005	3.302471e-007	1.307821e-007
1.600000e+000	9.969052e-002	9.950122e-002	9.553200e-002	1.000000e+000	3.061858e-005	-3.695867e-007	0.000000e+000	0.000000e+000	-3.956531e-007	2.985334e-005	2.496492e-007	1.460039e-007
1.700000e+000	1.000252e-001	9.986619e-002	9.562533e-002	1.000000e+000	2.649207e-005	-3.409332e-007	0.000000e+000	0.000000e+000	-3.322958e-007	2.581884e-005	1.762998e-007	1.559961e-007
1.800000e+000	1.002518e-001	1.001177e-001	9.572342e-002	1.000000e+000	2.317670e-005	-2.676882e-007	0.000000e+000	0.000000e+000	-2.802688e-007	2.262874e-005	1.186291e-007	1.616398e-007
1.900000e+000	1.004005e-001	1.002847e-001	9.582395e-002	1.000000e+000	2.078731e-005	-1.863810e-007	0.000000e+000	0.000000e+000	-2.419915e-007	2.035894e-005	7.790785e-008	1.640836e-007
