TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	6.124245e-105	4.956624e-108	9.919670e-109	1.000000e+000	7.878761e-106	4.370374e-106	0.000000e+000	0.000000e+000	-6.058453e-109	1.224308e-105	5.507360e-109	5.510928e-110
1.100000e+000	7.090026e-083	8.328592e-086	1.667275e-086	1.000000e+000	6.255885e-084	3.440671e-084	0.000000e+000	0.000000e+000	-7.011480e-087	9.689545e-084	6.373528e-087	6.379523e-088
1.200000e+000	1.965584e-071	3.222164e-074	6.452693e-075	1.000000e+000	1.239840e-072	6.748448e-073	0.000000e+000	0.000000e+000	-1.942970e-075	1.912742e-072	1.766125e-075	1.768445e-076
1.300000e+000	1.286815e-063	2.791959e-066	5.593486e-067	1.000000e+000	6.128815e-065	3.298687e-065	0.000000e+000	0.000000e+000	-1.271384e-067	9.414789e-065	1.155621e-067	1.157630e-068
1.400000e+000	9.414688e-058	2.580051e-060	5.171256e-061	1.000000e+000	3.550201e-059	1.889312e-059	0.000000e+000	0.000000e+000	-9.296855e-062	5.430216e-059	8.449998e-062	8.468565e-063
1.500000e+000	4.282735e-053	1.429324e-055	2.866168e-056	1.000000e+000	1.326102e-054	6.979861e-055	0.000000e+000	0.000000e+000	-4.226785e-057	2.019861e-054	3.841597e-057	3.851882e-058
