TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	2.099284e-024	9.039980e-026	2.359041e-027	1.000000e+000	2.739747e-025	3.460107e-025	0.000000e+000	0.000000e+000	-4.122615e-027	6.158629e-025	4.017769e-027	1.048463e-028
1.100000e+000	7.002597e-009	6.927418e-010	1.908096e-011	1.000000e+000	4.796121e-010	4.187875e-010	0.000000e+000	0.000000e+000	-1.296889e-011	8.854308e-010	1.261971e-011	3.491758e-013
1.200000e+000	9.810649e-005	2.279567e-005	7.169357e-007	1.000000e+000	3.136216e-006	1.921296e-006	0.000000e+000	0.000000e+000	-1.554911e-007	4.902021e-006	1.506216e-007	4.869478e-009
1.300000e+000	3.390374e-003	1.336900e-003	5.073692e-005	1.000000e+000	6.052563e-005	3.162429e-005	0.000000e+000	0.000000e+000	-4.273929e-006	8.787599e-005	4.106947e-006	1.669818e-007
1.400000e+000	2.053304e-002	1.089365e-002	5.040134e-004	1.000000e+000	2.404936e-004	1.168895e-004	0.000000e+000	0.000000e+000	-2.028023e-005	3.371028e-004	1.927878e-005	1.001451e-006
1.500000e+000	6.190511e-002	3.933131e-002	2.203198e-003	1.000000e+000	5.157756e-004	2.404106e-004	0.000000e+000	0.000000e+000	-4.813270e-005	7.080536e-004	4.514760e-005	2.985096e-006
