TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	2.404815e-024	9.081661e-026	8.166128e-029	1.000000e+000	3.127275e-025	3.941992e-025	0.000000e+000	0.000000e+000	-4.039923e-027	7.028868e-025	4.036294e-027	3.629390e-030
1.100000e+000	8.636437e-009	7.506561e-010	1.561511e-012	1.000000e+000	5.886044e-010	5.125606e-010	0.000000e+000	0.000000e+000	-1.376749e-011	1.087397e-009	1.373753e-011	2.996372e-014
1.200000e+000	1.285479e-004	2.658540e-005	1.399310e-007	1.000000e+000	4.044916e-006	2.462249e-006	0.000000e+000	0.000000e+000	-1.780125e-007	6.329152e-006	1.769547e-007	1.057817e-009
1.300000e+000	4.385406e-003	1.580185e-003	1.683635e-005	1.000000e+000	7.529943e-005	3.897370e-005	0.000000e+000	0.000000e+000	-4.897531e-006	1.093756e-004	4.834997e-006	6.253380e-008
1.400000e+000	2.540591e-002	1.259076e-002	2.227106e-004	1.000000e+000	2.811039e-004	1.354291e-004	0.000000e+000	0.000000e+000	-2.237349e-005	3.941594e-004	2.187877e-005	4.947210e-007
1.500000e+000	7.333420e-002	4.413629e-002	1.148230e-003	1.000000e+000	5.712124e-004	2.643434e-004	0.000000e+000	0.000000e+000	-5.097554e-005	7.845802e-004	4.925603e-005	1.719519e-006
