TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	4.919804e-024	1.654849e-026	5.528560e-027	1.000000e+000	6.277706e-025	7.833294e-025	0.000000e+000	0.000000e+000	-9.812022e-028	1.410119e-024	7.354884e-028	2.457138e-028
1.100000e+000	2.711622e-008	2.143224e-010	7.180309e-011	1.000000e+000	1.802973e-009	1.549007e-009	0.000000e+000	0.000000e+000	-5.387506e-012	3.346592e-009	4.035285e-012	1.352221e-012
1.200000e+000	6.542574e-004	1.337272e-005	4.512539e-006	1.000000e+000	1.919129e-005	1.135967e-005	0.000000e+000	0.000000e+000	-1.286199e-007	3.042234e-005	9.613270e-008	3.248724e-008
1.300000e+000	2.589075e-002	1.126988e-003	3.850073e-004	1.000000e+000	3.552437e-004	1.741933e-004	0.000000e+000	0.000000e+000	-4.989852e-006	5.244471e-004	3.714565e-006	1.275287e-006
1.400000e+000	1.276497e-001	1.000696e-002	3.477958e-003	1.000000e+000	8.935917e-004	4.027038e-004	0.000000e+000	0.000000e+000	-2.385500e-005	1.272441e-003	1.764641e-005	6.208588e-006
1.500000e+000	2.717333e-001	3.412369e-002	1.212068e-002	1.000000e+000	1.045174e-003	4.534945e-004	0.000000e+000	0.000000e+000	-4.862208e-005	1.450047e-003	3.564144e-005	1.298063e-005
