TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	1.128397e-022	6.627910e-025	2.115872e-027	1.000000e+000	1.320589e-023	1.998249e-023	0.000000e+000	0.000000e+000	-3.113516e-026	3.315724e-023	3.108487e-026	5.029161e-029
1.100000e+000	1.482887e-007	2.184097e-009	1.671870e-011	1.000000e+000	8.558515e-009	8.803103e-009	0.000000e+000	0.000000e+000	-4.055195e-011	1.732107e-008	4.038696e-011	1.649842e-013
1.200000e+000	1.166181e-003	4.582229e-005	8.834390e-007	1.000000e+000	2.790813e-005	2.067258e-005	0.000000e+000	0.000000e+000	-3.109601e-007	4.826974e-005	3.075393e-007	3.420815e-009
1.300000e+000	2.816344e-002	2.283993e-003	8.777250e-005	1.000000e+000	3.141059e-004	2.031068e-004	0.000000e+000	0.000000e+000	-7.182946e-006	5.100298e-004	7.015766e-006	1.671797e-007
1.400000e+000	1.150068e-001	1.586030e-002	1.018163e-003	1.000000e+000	6.812462e-004	4.171834e-004	0.000000e+000	0.000000e+000	-2.751851e-005	1.070911e-003	2.638870e-005	1.129807e-006
1.500000e+000	2.325533e-001	4.788093e-002	4.583602e-003	1.000000e+000	8.143433e-004	4.873925e-004	0.000000e+000	0.000000e+000	-5.125658e-005	1.250479e-003	4.796072e-005	3.295860e-006
