TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	1.353535e-012	1.368744e-013	5.073855e-016	1.000000e+000	1.793755e-013	2.233998e-013	0.000000e+000	0.000000e+000	-3.075478e-015	3.996998e-013	3.041653e-015	3.382570e-017
1.100000e+000	6.173037e-003	2.477310e-003	1.279334e-005	1.000000e+000	2.483679e-004	1.095877e-004	0.000000e+000	0.000000e+000	-9.393324e-006	3.485623e-004	9.239318e-006	1.540061e-007
1.200000e+000	1.285190e-001	9.051630e-002	7.982692e-004	1.000000e+000	2.304730e-003	3.808933e-004	0.000000e+000	0.000000e+000	-9.819977e-005	2.587424e-003	9.500675e-005	3.193018e-006
1.300000e+000	3.694594e-001	3.139025e-001	4.442907e-003	1.000000e+000	3.608205e-003	1.825895e-004	0.000000e+000	0.000000e+000	-1.480178e-004	3.642777e-003	1.388924e-004	9.125413e-006
1.400000e+000	5.966615e-001	5.499384e-001	1.164366e-002	1.000000e+000	3.330685e-003	-5.445328e-005	0.000000e+000	0.000000e+000	-1.314331e-004	3.144798e-003	1.168076e-004	1.462545e-005
1.500000e+000	7.559291e-001	7.248649e-001	2.162971e-002	1.000000e+000	2.446346e-003	-1.451400e-004	0.000000e+000	0.000000e+000	-9.601795e-005	2.205189e-003	7.766046e-005	1.835749e-005
