TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	[M/L³]          	[M/L³]          	[M/L³]          	[M/L³]          	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  	([M/L³])·([L]²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
6.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
8.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e+000	5.164769e-024	7.873474e-027	3.729540e-027	1.000000e+000	6.581771e-025	8.207006e-025	0.000000e+000	0.000000e+000	-5.156895e-028	1.478362e-024	3.499322e-028	1.657573e-028
1.100000e+000	2.942466e-008	9.266446e-011	6.277625e-011	1.000000e+000	1.953475e-009	1.676932e-009	0.000000e+000	0.000000e+000	-2.933200e-012	3.627474e-009	1.737671e-012	1.195528e-012
1.200000e+000	7.475670e-004	5.546101e-006	4.687076e-006	1.000000e+000	2.187384e-005	1.293527e-005	0.000000e+000	0.000000e+000	-7.420209e-008	3.473491e-005	3.984109e-008	3.436100e-008
1.300000e+000	3.110472e-002	4.748305e-004	4.377624e-004	1.000000e+000	4.232517e-004	2.071034e-004	0.000000e+000	0.000000e+000	-3.062989e-006	6.272921e-004	1.580264e-006	1.482726e-006
1.400000e+000	1.593429e-001	4.360802e-003	4.169964e-003	1.000000e+000	1.086303e-003	4.873876e-004	0.000000e+000	0.000000e+000	-1.549821e-005	1.558192e-003	7.864713e-006	7.633499e-006
1.500000e+000	3.468757e-001	1.541189e-002	1.500051e-002	1.000000e+000	1.243441e-003	5.351805e-004	0.000000e+000	0.000000e+000	-3.314639e-005	1.745475e-003	1.669119e-005	1.645519e-005
