RUN           	REACH         	DISPERSION    	AREA          	AREA2         	AREA3         	ALPHA         	ALPHA3        	QLATIN        	Objective Func
0.000000e+000	1.000000e+000	2.000000e-003	1.570000e-001	1.180000e-002	0.000000e+000	1.000000e-002	0.000000e+000	5.600000e-004	1.826260e+000
1.000000e+000	1.000000e+000	2.602547e-003	1.595296e-001	1.172845e-002	0.000000e+000	1.056208e-002	0.000000e+000	5.600000e-004	4.454288e+000
2.000000e+000	1.000000e+000	1.943166e-003	1.561650e-001	1.179223e-002	0.000000e+000	9.130614e-003	0.000000e+000	5.600000e-004	2.054202e+000
3.000000e+000	1.000000e+000	1.260656e-003	1.594654e-001	1.178812e-002	0.000000e+000	1.093086e-002	0.000000e+000	5.600000e-004	4.793069e+000
4.000000e+000	1.000000e+000	1.979828e-003	1.561658e-001	1.197326e-002	0.000000e+000	1.098460e-002	0.000000e+000	5.600000e-004	1.645385e+000
5.000000e+000	1.000000e+000	3.121313e-003	1.541102e-001	1.162783e-002	0.000000e+000	9.626455e-003	0.000000e+000	5.600000e-004	3.934226e+000
6.000000e+000	1.000000e+000	1.192249e-003	1.590804e-001	1.173843e-002	0.000000e+000	9.946142e-003	0.000000e+000	5.600000e-004	3.924259e+000
7.000000e+000	1.000000e+000	3.128003e-003	1.508968e-001	1.169512e-002	0.000000e+000	9.597619e-003	0.000000e+000	5.600000e-004	7.920983e+000
8.000000e+000	1.000000e+000	3.818962e-003	1.526392e-001	1.186871e-002	0.000000e+000	1.090507e-002	0.000000e+000	5.600000e-004	5.026617e+000
9.000000e+000	1.000000e+000	2.153126e-003	1.500896e-001	1.185386e-002	0.000000e+000	9.487179e-003	0.000000e+000	5.600000e-004	8.938399e+000
1.000000e+001	1.000000e+000	3.888325e-003	1.527734e-001	1.169866e-002	0.000000e+000	9.034899e-003	0.000000e+000	5.600000e-004	5.859079e+000
1.100000e+001	1.000000e+000	2.068166e-003	1.536837e-001	1.164612e-002	0.000000e+000	1.085463e-002	0.000000e+000	5.600000e-004	3.944373e+000
1.200000e+001	1.000000e+000	3.772805e-003	1.523351e-001	1.180891e-002	0.000000e+000	1.012718e-002	0.000000e+000	5.600000e-004	5.780538e+000
1.300000e+001	1.000000e+000	3.930015e-003	1.564074e-001	1.193340e-002	0.000000e+000	1.045019e-002	0.000000e+000	5.600000e-004	1.517293e+000
1.400000e+001	1.000000e+000	2.810672e-003	1.509079e-001	1.197577e-002	0.000000e+000	9.204687e-003	0.000000e+000	5.600000e-004	7.974380e+000
1.500000e+001	1.000000e+000	9.290611e-004	1.548371e-001	1.187239e-002	0.000000e+000	9.990954e-003	0.000000e+000	5.600000e-004	2.906107e+000
1.600000e+001	1.000000e+000	5.601105e-004	1.573386e-001	1.196371e-002	0.000000e+000	1.001205e-002	0.000000e+000	5.600000e-004	2.348167e+000
1.700000e+001	1.000000e+000	7.350609e-004	1.549929e-001	1.184634e-002	0.000000e+000	1.085250e-002	0.000000e+000	5.600000e-004	2.471529e+000
1.800000e+001	1.000000e+000	1.573186e-003	1.517218e-001	1.194985e-002	0.000000e+000	9.459591e-003	0.000000e+000	5.600000e-004	6.930227e+000
1.900000e+001	1.000000e+000	3.011725e-003	1.542234e-001	1.177399e-002	0.000000e+000	9.527405e-003	0.000000e+000	5.600000e-004	3.778502e+000
2.000000e+001	1.000000e+000	2.690268e-003	1.515402e-001	1.183517e-002	0.000000e+000	9.817773e-003	0.000000e+000	5.600000e-004	6.955858e+000
2.100000e+001	1.000000e+000	4.308260e-003	1.519759e-001	1.198678e-002	0.000000e+000	9.856690e-003	0.000000e+000	5.600000e-004	6.241581e+000
2.200000e+001	1.000000e+000	2.614521e-003	1.549059e-001	1.175685e-002	0.000000e+000	9.810801e-003	0.000000e+000	5.600000e-004	2.858409e+000
2.300000e+001	1.000000e+000	4.590543e-003	1.599700e-001	1.183428e-002	0.000000e+000	1.045082e-002	0.000000e+000	5.600000e-004	4.687083e+000
2.400000e+001	1.000000e+000	2.489005e-003	1.578859e-001	1.179811e-002	0.000000e+000	1.027975e-002	0.000000e+000	5.600000e-004	2.523010e+000
2.500000e+001	1.000000e+000	9.178368e-004	1.589360e-001	1.181261e-002	0.000000e+000	9.220900e-003	0.000000e+000	5.600000e-004	3.541758e+000
2.600000e+001	1.000000e+000	4.587709e-003	1.582625e-001	1.177179e-002	0.000000e+000	1.027941e-002	0.000000e+000	5.600000e-004	2.679645e+000
2.700000e+001	1.000000e+000	2.801685e-003	1.503890e-001	1.194959e-002	0.000000e+000	1.007194e-002	0.000000e+000	5.600000e-004	8.175285e+000
2.800000e+001	1.000000e+000	2.753115e-003	1.561897e-001	1.181180e-002	0.000000e+000	1.003307e-002	0.000000e+000	5.600000e-004	1.678488e+000
2.900000e+001	1.000000e+000	2.069358e-003	1.519693e-001	1.190086e-002	0.000000e+000	9.756732e-003	0.000000e+000	5.600000e-004	6.446358e+000
3.000000e+001	1.000000e+000	2.178899e-003	1.580612e-001	1.182069e-002	0.000000e+000	9.740752e-003	0.000000e+000	5.600000e-004	2.559072e+000
3.100000e+001	1.000000e+000	9.424693e-004	1.585798e-001	1.162101e-002	0.000000e+000	1.014701e-002	0.000000e+000	5.600000e-004	3.493539e+000
3.200000e+001	1.000000e+000	4.392008e-003	1.554469e-001	1.186019e-002	0.000000e+000	9.433694e-003	0.000000e+000	5.600000e-004	2.429837e+000
3.300000e+001	1.000000e+000	1.126131e-003	1.549404e-001	1.175984e-002	0.000000e+000	1.005748e-002	0.000000e+000	5.600000e-004	2.812251e+000
3.400000e+001	1.000000e+000	3.398901e-003	1.564449e-001	1.197617e-002	0.000000e+000	1.014323e-002	0.000000e+000	5.600000e-004	1.545265e+000
3.500000e+001	1.000000e+000	1.088313e-003	1.519928e-001	1.171739e-002	0.000000e+000	9.568715e-003	0.000000e+000	5.600000e-004	6.706098e+000
3.600000e+001	1.000000e+000	2.094566e-003	1.577605e-001	1.184429e-002	0.000000e+000	1.042695e-002	0.000000e+000	5.600000e-004	2.518244e+000
3.700000e+001	1.000000e+000	4.706628e-003	1.551106e-001	1.173293e-002	0.000000e+000	9.573155e-003	0.000000e+000	5.600000e-004	2.756523e+000
3.800000e+001	1.000000e+000	3.762385e-003	1.543508e-001	1.195664e-002	0.000000e+000	9.419126e-003	0.000000e+000	5.600000e-004	3.602359e+000
3.900000e+001	1.000000e+000	2.511521e-003	1.569081e-001	1.187238e-002	0.000000e+000	1.017499e-002	0.000000e+000	5.600000e-004	1.726020e+000
