TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	9.520842e-002	9.520842e-002	9.520842e-002	0.000000e+000	1.213202e-005	8.286148e-009	0.000000e+000	0.000000e+000	0.000000e+000	1.214031e-005	0.000000e+000	0.000000e+000
1.000000e-001	9.520842e-002	9.520842e-002	9.520842e-002	1.000000e+000	1.213202e-005	8.286148e-009	0.000000e+000	0.000000e+000	2.054903e-019	1.214031e-005	-2.007727e-019	-4.717589e-021
2.000000e-001	9.520842e-002	9.520842e-002	9.520842e-002	1.000000e+000	1.213202e-005	8.286148e-009	0.000000e+000	0.000000e+000	2.054903e-019	1.214031e-005	-2.007727e-019	-4.717589e-021
3.000000e-001	9.520842e-002	9.520842e-002	9.520842e-002	1.000000e+000	1.213202e-005	8.286202e-009	0.000000e+000	0.000000e+000	-1.919948e-015	1.214031e-005	1.866684e-015	5.326315e-017
4.000000e-001	9.520842e-002	9.520842e-002	9.520842e-002	1.000000e+000	1.213213e-005	8.310600e-009	0.000000e+000	0.000000e+000	-1.319966e-012	1.214044e-005	1.278217e-012	4.174913e-014
5.000000e-001	9.520851e-002	9.520846e-002	9.520842e-002	1.000000e+000	1.213878e-005	9.452936e-009	0.000000e+000	0.000000e+000	-9.074841e-011	1.214815e-005	8.741746e-011	3.330952e-012
6.000000e-001	9.521025e-002	9.520941e-002	9.520843e-002	1.000000e+000	1.224061e-005	2.303601e-008	0.000000e+000	0.000000e+000	-1.590382e-009	1.226206e-005	1.521754e-009	6.862816e-011
7.000000e-001	9.522441e-002	9.521829e-002	9.520859e-002	1.000000e+000	1.288000e-005	8.786276e-008	0.000000e+000	0.000000e+000	-1.165783e-008	1.295620e-005	1.106034e-008	5.974879e-010
8.000000e-001	9.528648e-002	9.526193e-002	9.520952e-002	1.000000e+000	1.503057e-005	2.465569e-007	0.000000e+000	0.000000e+000	-4.730283e-008	1.522982e-005	4.439600e-008	2.906830e-009
9.000000e-001	9.546086e-002	9.539647e-002	9.521299e-002	1.000000e+000	1.956893e-005	4.685621e-007	0.000000e+000	0.000000e+000	-1.258065e-007	1.991169e-005	1.164442e-007	9.362301e-009
1.000000e+000	9.581193e-002	9.568909e-002	9.522229e-002	1.000000e+000	2.615091e-005	6.323391e-007	0.000000e+000	0.000000e+000	-2.444041e-007	2.653885e-005	2.221330e-007	2.227102e-008
1.100000e+000	9.635807e-002	9.617495e-002	9.524166e-002	1.000000e+000	3.296143e-005	6.218364e-007	0.000000e+000	0.000000e+000	-3.733142e-007	3.320995e-005	3.311463e-007	4.216782e-008
1.200000e+000	9.705041e-002	9.682606e-002	9.527487e-002	1.000000e+000	3.777991e-005	4.267924e-007	0.000000e+000	0.000000e+000	-4.727776e-007	3.773393e-005	4.057139e-007	6.706372e-008
1.300000e+000	9.779393e-002	9.755955e-002	9.532391e-002	1.000000e+000	3.931338e-005	1.409838e-007	0.000000e+000	0.000000e+000	-5.171500e-007	3.893722e-005	4.238551e-007	9.329489e-008
1.400000e+000	9.849061e-002	9.827586e-002	9.538842e-002	1.000000e+000	3.769600e-005	-1.170086e-007	0.000000e+000	0.000000e+000	-5.055233e-007	3.707347e-005	3.883511e-007	1.171723e-007
1.500000e+000	9.907370e-002	9.889720e-002	9.546615e-002	1.000000e+000	3.405366e-005	-2.745766e-007	0.000000e+000	0.000000e+000	-4.554468e-007	3.332363e-005	3.191864e-007	1.362604e-007
1.600000e+000	9.951842e-002	9.938573e-002	9.555384e-002	1.000000e+000	2.973189e-005	-3.226204e-007	0.000000e+000	0.000000e+000	-3.897020e-007	2.901957e-005	2.399563e-007	1.497457e-007
1.700000e+000	9.983334e-002	9.974038e-002	9.564815e-002	1.000000e+000	2.573993e-005	-2.928081e-007	0.000000e+000	0.000000e+000	-3.261888e-007	2.512093e-005	1.681104e-007	1.580784e-007
1.800000e+000	1.000446e-001	9.998264e-002	9.574625e-002	1.000000e+000	2.257842e-005	-2.265610e-007	0.000000e+000	0.000000e+000	-2.743812e-007	2.207748e-005	1.120291e-007	1.623521e-007
1.900000e+000	1.001821e-001	1.001419e-001	9.584603e-002	1.000000e+000	2.033537e-005	-1.555733e-007	0.000000e+000	0.000000e+000	-2.366174e-007	1.994318e-005	7.283868e-008	1.637787e-007
2.000000e+000	1.002719e-001	1.002455e-001	9.594608e-002	1.000000e+000	1.887034e-005	-9.654284e-008	0.000000e+000	0.000000e+000	-2.111243e-007	1.856267e-005	4.773610e-008	1.633882e-007
2.100000e+000	1.003327e-001	1.003146e-001	9.604554e-002	1.000000e+000	1.796984e-005	-5.429128e-008	0.000000e+000	0.000000e+000	-1.946768e-007	1.772087e-005	3.274687e-008	1.619299e-007
2.200000e+000	1.003771e-001	1.003637e-001	9.614391e-002	1.000000e+000	1.743669e-005	-2.711563e-008	0.000000e+000	0.000000e+000	-1.841720e-007	1.722540e-005	2.427987e-008	1.598921e-007
