RUN           	REACH         	DISPERSION    	AREA          	AREA2         	AREA3         	ALPHA         	ALPHA3        	QLATIN        	Objective Func
0.000000e+000	1.000000e+000	6.000000e-001	5.000000e-001	3.000000e-001	0.000000e+000	5.000000e-005	0.000000e+000	1.800000e-005	1.141136e+000
1.000000e+000	1.000000e+000	8.074026e-001	5.764777e-001	1.673563e-001	0.000000e+000	1.583978e-004	0.000000e+000	1.800000e-005	1.602901e+000
2.000000e+000	1.000000e+000	6.169147e-001	4.082490e-001	2.454860e-001	0.000000e+000	2.240835e-005	0.000000e+000	1.800000e-005	2.179579e+000
3.000000e+000	1.000000e+000	4.197451e-001	5.732692e-001	2.404469e-001	0.000000e+000	1.934313e-004	0.000000e+000	1.800000e-005	2.224102e+000
4.000000e+000	1.000000e+000	6.275058e-001	4.082922e-001	4.672473e-001	0.000000e+000	1.985373e-004	0.000000e+000	1.800000e-005	2.028451e+000
5.000000e+000	1.000000e+000	9.572682e-001	3.055117e-001	4.408612e-002	0.000000e+000	6.951318e-005	0.000000e+000	1.800000e-005	3.279295e+000
6.000000e+000	1.000000e+000	3.999830e-001	5.540176e-001	1.795797e-001	0.000000e+000	9.988353e-005	0.000000e+000	1.800000e-005	1.335950e+000
7.000000e+000	1.000000e+000	9.592008e-001	1.448396e-001	1.265230e-001	0.000000e+000	6.677379e-005	0.000000e+000	1.800000e-005	5.069018e+000
8.000000e+000	1.000000e+000	1.158811e+000	2.319591e-001	3.391652e-001	0.000000e+000	1.909817e-004	0.000000e+000	1.800000e-005	3.049038e+000
9.000000e+000	1.000000e+000	6.775699e-001	1.044813e-001	3.209841e-001	0.000000e+000	5.628201e-005	0.000000e+000	1.800000e-005	5.678613e+000
1.000000e+001	1.000000e+000	1.178849e+000	2.386698e-001	1.308556e-001	0.000000e+000	1.331545e-005	0.000000e+000	1.800000e-005	4.524426e+000
1.100000e+001	1.000000e+000	6.530259e-001	2.841826e-001	6.649351e-002	0.000000e+000	1.861897e-004	0.000000e+000	1.800000e-005	3.195266e+000
1.200000e+001	1.000000e+000	1.145477e+000	2.167526e-001	2.659114e-001	0.000000e+000	1.170818e-004	0.000000e+000	1.800000e-005	3.749875e+000
1.300000e+001	1.000000e+000	1.190893e+000	4.203675e-001	4.184115e-001	0.000000e+000	1.477677e-004	0.000000e+000	1.800000e-005	1.882704e+000
1.400000e+001	1.000000e+000	8.675274e-001	1.453959e-001	4.703235e-001	0.000000e+000	2.944531e-005	0.000000e+000	1.800000e-005	5.429711e+000
1.500000e+001	1.000000e+000	3.239510e-001	3.418540e-001	3.436739e-001	0.000000e+000	1.041406e-004	0.000000e+000	1.800000e-005	2.332714e+000
1.600000e+001	1.000000e+000	2.173653e-001	4.669277e-001	4.555409e-001	0.000000e+000	1.061444e-004	0.000000e+000	1.800000e-005	1.740513e+000
1.700000e+001	1.000000e+000	2.679065e-001	3.496465e-001	3.117703e-001	0.000000e+000	1.859877e-004	0.000000e+000	1.800000e-005	1.626285e+000
1.800000e+001	1.000000e+000	1.139794e+000	3.351263e-001	2.724215e-001	0.000000e+000	2.637469e-005	0.000000e+000	1.800000e-005	3.160800e+000
1.900000e+001	1.000000e+000	2.767261e-001	2.192429e-001	1.225998e-001	0.000000e+000	1.904840e-004	0.000000e+000	1.800000e-005	3.496645e+000
2.000000e+001	1.000000e+000	4.238375e-001	5.920661e-001	1.626569e-001	0.000000e+000	1.761806e-004	0.000000e+000	1.800000e-005	1.956973e+000
2.100000e+001	1.000000e+000	3.712787e-001	2.318877e-001	1.445481e-001	0.000000e+000	8.038675e-005	0.000000e+000	1.800000e-005	3.871186e+000
2.200000e+001	1.000000e+000	2.007048e-001	4.834026e-001	3.499023e-001	0.000000e+000	3.117128e-005	0.000000e+000	1.800000e-005	1.251548e+000
2.300000e+001	1.000000e+000	1.043680e+000	3.044432e-001	8.546904e-002	0.000000e+000	1.024780e-004	0.000000e+000	1.800000e-005	2.882734e+000
2.400000e+001	1.000000e+000	9.642950e-001	4.653414e-001	2.964566e-001	0.000000e+000	4.011298e-005	0.000000e+000	1.800000e-005	1.440876e+000
2.500000e+001	1.000000e+000	8.015048e-001	4.563938e-001	4.126194e-001	0.000000e+000	1.110957e-004	0.000000e+000	1.800000e-005	1.737566e+000
2.600000e+001	1.000000e+000	1.300164e+000	1.987971e-001	4.838037e-001	0.000000e+000	9.138559e-005	0.000000e+000	1.800000e-005	4.342633e+000
2.700000e+001	1.000000e+000	8.052152e-001	1.223196e-001	1.333366e-001	0.000000e+000	1.052888e-004	0.000000e+000	1.800000e-005	5.089499e+000
2.800000e+001	1.000000e+000	7.790410e-001	2.875754e-001	8.740059e-002	0.000000e+000	3.075988e-005	0.000000e+000	1.800000e-005	3.668659e+000
2.900000e+001	1.000000e+000	1.292302e+000	2.426450e-001	4.360906e-001	0.000000e+000	1.595772e-004	0.000000e+000	1.800000e-005	3.247040e+000
3.000000e+001	1.000000e+000	1.381713e+000	5.985002e-001	2.969963e-001	0.000000e+000	1.478283e-004	0.000000e+000	1.800000e-005	2.227053e+000
3.100000e+001	1.000000e+000	1.465061e+000	1.310514e-001	3.824437e-001	0.000000e+000	6.513428e-005	0.000000e+000	1.800000e-005	5.322494e+000
3.200000e+001	1.000000e+000	1.264835e+000	1.565047e-001	1.804912e-001	0.000000e+000	1.396675e-004	0.000000e+000	1.800000e-005	4.388645e+000
3.300000e+001	1.000000e+000	1.304564e+000	4.070926e-001	3.100146e-001	0.000000e+000	7.054422e-005	0.000000e+000	1.800000e-005	1.889648e+000
3.400000e+001	1.000000e+000	8.503367e-001	3.064067e-001	8.566793e-002	0.000000e+000	1.719687e-004	0.000000e+000	1.800000e-005	2.698487e+000
3.500000e+001	1.000000e+000	7.328588e-001	3.219269e-001	4.274057e-001	0.000000e+000	1.847232e-005	0.000000e+000	1.800000e-005	3.486410e+000
3.600000e+001	1.000000e+000	8.649311e-001	1.194524e-001	4.382449e-001	0.000000e+000	1.118342e-004	0.000000e+000	1.800000e-005	5.192899e+000
3.700000e+001	1.000000e+000	7.337810e-001	3.464692e-001	1.644424e-001	0.000000e+000	1.421129e-004	0.000000e+000	1.800000e-005	1.803820e+000
3.800000e+001	1.000000e+000	6.533701e-001	1.984635e-001	3.785575e-001	0.000000e+000	8.188954e-005	0.000000e+000	1.800000e-005	4.391500e+000
3.900000e+001	1.000000e+000	4.976948e-001	3.335131e-001	1.611137e-001	0.000000e+000	1.455889e-004	0.000000e+000	1.800000e-005	1.960443e+000
4.000000e+001	1.000000e+000	3.278245e-001	5.289895e-001	3.573148e-002	0.000000e+000	1.189655e-004	0.000000e+000	1.800000e-005	8.620289e-001
4.100000e+001	1.000000e+000	1.324358e+000	3.723464e-001	3.287332e-001	0.000000e+000	5.120090e-005	0.000000e+000	1.800000e-005	2.450640e+000
