TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	       NaN
1.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	       NaN
2.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	       NaN
3.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	       NaN
4.000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	       NaN
5.000000e-001	9.983889e-047	4.960249e-049	0.000000e+000	1.000000e+000	2.526324e-048	1.226771e-048	0.000000e+000	0.000000e+000	-5.440480e-051	3.747654e-048	5.440480e-051	       NaN
6.000000e-001	3.968287e-034	2.981564e-036	0.000000e+000	1.000000e+000	5.945962e-036	3.047635e-036	0.000000e+000	0.000000e+000	-2.156891e-038	8.972028e-036	2.156891e-038	       NaN
7.000000e-001	1.901855e-026	2.034026e-028	0.000000e+000	1.000000e+000	1.586514e-028	9.621457e-029	0.000000e+000	0.000000e+000	-1.030405e-030	2.538356e-028	1.030405e-030	       NaN
8.000000e-001	4.098282e-021	5.888464e-023	0.000000e+000	1.000000e+000	1.511829e-023	1.438882e-023	0.000000e+000	0.000000e+000	-2.212163e-025	2.928590e-023	2.212163e-025	       NaN
9.000000e-001	3.859169e-017	7.131763e-019	0.000000e+000	1.000000e+000	3.497212e-021	9.771312e-020	0.000000e+000	0.000000e+000	-2.074405e-021	9.913593e-020	2.074405e-021	       NaN
1.000000e+000	4.781291e-014	1.102073e-015	0.000000e+000	1.000000e+000	-1.396201e-016	8.953005e-017	0.000000e+000	0.000000e+000	-2.558104e-018	-5.264816e-017	2.558104e-018	       NaN
1.100000e+000	1.430695e-011	4.026153e-013	0.000000e+000	1.000000e+000	-7.989007e-014	2.011131e-014	0.000000e+000	0.000000e+000	-7.614665e-016	-6.054023e-014	7.614665e-016	       NaN
1.200000e+000	1.492891e-009	5.053765e-011	0.000000e+000	1.000000e+000	-1.199215e-011	1.586816e-012	0.000000e+000	0.000000e+000	-7.899001e-014	-1.048432e-011	7.899001e-014	       NaN
1.300000e+000	6.895054e-008	2.779653e-009	0.000000e+000	1.000000e+000	-7.131910e-010	5.546635e-011	0.000000e+000	0.000000e+000	-3.623827e-012	-6.613485e-010	3.623827e-012	       NaN
1.400000e+000	1.659860e-006	7.917149e-008	0.000000e+000	1.000000e+000	-2.085331e-008	1.005687e-009	0.000000e+000	0.000000e+000	-8.656587e-011	-1.993419e-008	8.656587e-011	       NaN
1.500000e+000	2.341333e-005	1.316521e-006	0.000000e+000	1.000000e+000	-3.446966e-007	1.057187e-008	0.000000e+000	0.000000e+000	-1.210125e-009	-3.353348e-007	1.210125e-009	       NaN
1.600000e+000	2.110771e-004	1.397462e-005	0.000000e+000	1.000000e+000	-3.554400e-006	6.982487e-008	0.000000e+000	0.000000e+000	-1.079425e-008	-3.495369e-006	1.079425e-008	       NaN
1.700000e+000	1.299888e-003	1.014184e-004	0.000000e+000	1.000000e+000	-2.460107e-005	3.072437e-007	0.000000e+000	0.000000e+000	-6.563382e-008	-2.435946e-005	6.563382e-008	       NaN
1.800000e+000	5.763495e-003	5.313565e-004	0.000000e+000	1.000000e+000	-1.209436e-004	9.393040e-007	0.000000e+000	0.000000e+000	-2.865364e-007	-1.202909e-004	2.865364e-007	       NaN
1.900000e+000	1.920524e-002	2.101171e-003	0.000000e+000	1.000000e+000	-4.419457e-004	2.051391e-006	0.000000e+000	0.000000e+000	-9.366987e-007	-4.408310e-004	9.366987e-007	       NaN
2.000000e+000	4.988274e-002	6.511207e-003	0.000000e+000	1.000000e+000	-1.246701e-003	3.243087e-006	0.000000e+000	0.000000e+000	-2.375228e-006	-1.245833e-003	2.375228e-006	       NaN
