TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	3.291355e-40	1.768917e-41	4.125552e-44	1.000000e+00	1.297488e-40	3.097970e-41	0.000000e+00	0.000000e+00	-2.533928e-43	1.604751e-40	2.529457e-43	4.470218e-46
6.000000e-01	4.444128e-28	3.626882e-29	1.309938e-31	1.000000e+00	1.157972e-28	2.515322e-29	0.000000e+00	0.000000e+00	-3.320660e-31	1.406183e-28	3.311506e-31	9.153711e-34
7.000000e-01	6.074012e-21	7.074109e-22	3.758610e-24	1.000000e+00	1.113855e-21	2.157657e-22	0.000000e+00	0.000000e+00	-4.366266e-24	1.325254e-21	4.348443e-24	1.782351e-26
8.000000e-01	3.514756e-16	5.486306e-17	4.060941e-19	1.000000e+00	4.814177e-17	8.222386e-18	0.000000e+00	0.000000e+00	-2.413240e-19	5.612283e-17	2.399446e-19	1.379395e-21
9.000000e-01	8.930115e-13	1.778719e-13	1.757705e-15	1.000000e+00	9.538110e-14	1.426127e-14	0.000000e+00	0.000000e+00	-5.818376e-16	1.090605e-13	5.773766e-16	4.460972e-18
1.000000e+00	3.097180e-10	7.590962e-11	9.713647e-13	1.000000e+00	2.654714e-11	3.454415e-12	0.000000e+00	0.000000e+00	-1.902265e-13	2.981133e-11	1.883283e-13	1.898186e-15
1.100000e+00	2.741332e-08	8.042726e-09	1.304070e-10	1.000000e+00	1.921482e-09	2.163438e-10	0.000000e+00	0.000000e+00	-1.575991e-11	2.122066e-09	1.555949e-11	2.004190e-13
1.200000e+00	9.062354e-07	3.113523e-07	6.295442e-09	1.000000e+00	5.259130e-08	5.093148e-09	0.000000e+00	0.000000e+00	-4.839969e-10	5.720045e-08	4.762698e-10	7.727090e-12
1.300000e+00	1.436464e-05	5.674049e-06	1.413243e-07	1.000000e+00	6.957797e-07	5.759575e-08	0.000000e+00	0.000000e+00	-7.070666e-09	7.463048e-07	6.930522e-09	1.401439e-10
1.400000e+00	1.297986e-04	5.801509e-05	1.762570e-06	1.000000e+00	5.274005e-06	3.706479e-07	0.000000e+00	0.000000e+00	-5.840302e-08	5.586249e-06	5.697814e-08	1.424876e-09
1.500000e+00	7.573058e-04	3.776609e-04	1.388197e-05	1.000000e+00	2.588361e-05	1.532504e-06	0.000000e+00	0.000000e+00	-3.088791e-07	2.710723e-05	2.996646e-07	9.214520e-09
1.600000e+00	3.128518e-03	1.718989e-03	7.592122e-05	1.000000e+00	9.001917e-05	4.448784e-06	0.000000e+00	0.000000e+00	-1.146793e-06	9.332116e-05	1.105174e-06	4.161890e-08
