TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	4.816473e-001	4.816473e-001	0.000000e+000	0.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	0.000000e+000	-4.129161e-003	0.000000e+000	       NaN
1.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	7.744758e-021	-4.129161e-003	-7.744758e-021	       NaN
2.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	1.548952e-020	-4.129161e-003	-1.548952e-020	       NaN
3.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	2.323427e-020	-4.129161e-003	-2.323427e-020	       NaN
4.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	3.097903e-020	-4.129161e-003	-3.097903e-020	       NaN
5.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	3.756208e-020	-4.129161e-003	-3.756208e-020	       NaN
6.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099010e-009	0.000000e+000	0.000000e+000	-7.822206e-020	-4.129161e-003	7.822206e-020	       NaN
7.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099011e-009	0.000000e+000	0.000000e+000	-7.218115e-018	-4.129161e-003	7.218115e-018	       NaN
8.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099029e-009	0.000000e+000	0.000000e+000	-1.964415e-016	-4.129161e-003	1.964415e-016	       NaN
9.000000e-001	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.099228e-009	0.000000e+000	0.000000e+000	-2.858331e-015	-4.129161e-003	2.858331e-015	       NaN
1.000000e+000	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.100533e-009	0.000000e+000	0.000000e+000	-2.581231e-014	-4.129161e-003	2.581231e-014	       NaN
1.100000e+000	4.816473e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129165e-003	4.106347e-009	0.000000e+000	0.000000e+000	-1.603086e-013	-4.129161e-003	1.603086e-013	       NaN
1.200000e+000	4.816474e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129166e-003	4.125270e-009	0.000000e+000	0.000000e+000	-7.382147e-013	-4.129161e-003	7.382147e-013	       NaN
1.300000e+000	4.816477e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129167e-003	4.172778e-009	0.000000e+000	0.000000e+000	-2.667367e-012	-4.129163e-003	2.667367e-012	       NaN
1.400000e+000	4.816485e-001	4.816473e-001	0.000000e+000	1.000000e+000	-4.129171e-003	4.268592e-009	0.000000e+000	0.000000e+000	-7.898164e-012	-4.129167e-003	7.898164e-012	       NaN
1.500000e+000	4.816502e-001	4.816474e-001	0.000000e+000	1.000000e+000	-4.129181e-003	4.428478e-009	0.000000e+000	0.000000e+000	-1.982692e-011	-4.129177e-003	1.982692e-011	       NaN
1.600000e+000	4.816537e-001	4.816474e-001	0.000000e+000	1.000000e+000	-4.129202e-003	4.653740e-009	0.000000e+000	0.000000e+000	-4.334775e-011	-4.129198e-003	4.334775e-011	       NaN
1.700000e+000	4.816597e-001	4.816476e-001	0.000000e+000	1.000000e+000	-4.129241e-003	4.924520e-009	0.000000e+000	0.000000e+000	-8.434633e-011	-4.129236e-003	8.434633e-011	       NaN
1.800000e+000	4.816693e-001	4.816480e-001	0.000000e+000	1.000000e+000	-4.129305e-003	5.201550e-009	0.000000e+000	0.000000e+000	-1.486659e-010	-4.129300e-003	1.486659e-010	       NaN
1.900000e+000	4.816830e-001	4.816485e-001	0.000000e+000	1.000000e+000	-4.129402e-003	5.436180e-009	0.000000e+000	0.000000e+000	-2.408265e-010	-4.129396e-003	2.408265e-010	       NaN
2.000000e+000	4.817014e-001	4.816494e-001	0.000000e+000	1.000000e+000	-4.129535e-003	5.584237e-009	0.000000e+000	0.000000e+000	-3.628994e-010	-4.129529e-003	3.628994e-010	       NaN
2.100000e+000	4.817243e-001	4.816506e-001	0.000000e+000	1.000000e+000	-4.129706e-003	5.617880e-009	0.000000e+000	0.000000e+000	-5.138729e-010	-4.129701e-003	5.138729e-010	       NaN
2.200000e+000	4.817512e-001	4.816524e-001	0.000000e+000	1.000000e+000	-4.129914e-003	5.531453e-009	0.000000e+000	0.000000e+000	-6.896637e-010	-4.129909e-003	6.896637e-010	       NaN
2.300000e+000	4.817813e-001	4.816546e-001	0.000000e+000	1.000000e+000	-4.130153e-003	5.340445e-009	0.000000e+000	0.000000e+000	-8.837101e-010	-4.130148e-003	8.837101e-010	       NaN
2.400000e+000	4.818134e-001	4.816575e-001	0.000000e+000	1.000000e+000	-4.130414e-003	5.075302e-009	0.000000e+000	0.000000e+000	-1.087942e-009	-4.130410e-003	1.087942e-009	       NaN
2.500000e+000	4.818464e-001	4.816609e-001	0.000000e+000	1.000000e+000	-4.130689e-003	4.773050e-009	0.000000e+000	0.000000e+000	-1.293868e-009	-4.130685e-003	1.293868e-009	       NaN
2.600000e+000	4.818790e-001	4.816649e-001	0.000000e+000	1.000000e+000	-4.130966e-003	4.469441e-009	0.000000e+000	0.000000e+000	-1.493549e-009	-4.130963e-003	1.493549e-009	       NaN
2.700000e+000	4.819104e-001	4.816695e-001	0.000000e+000	1.000000e+000	-4.131238e-003	4.193365e-009	0.000000e+000	0.000000e+000	-1.680323e-009	-4.131236e-003	1.680323e-009	       NaN
2.800000e+000	4.819397e-001	4.816746e-001	0.000000e+000	1.000000e+000	-4.131497e-003	3.964083e-009	0.000000e+000	0.000000e+000	-1.849211e-009	-4.131495e-003	1.849211e-009	       NaN
2.900000e+000	4.819664e-001	4.816802e-001	0.000000e+000	1.000000e+000	-4.131737e-003	3.790963e-009	0.000000e+000	0.000000e+000	-1.997036e-009	-4.131735e-003	1.997036e-009	       NaN
3.000000e+000	4.819903e-001	4.816861e-001	0.000000e+000	1.000000e+000	-4.131955e-003	3.674939e-009	0.000000e+000	0.000000e+000	-2.122311e-009	-4.131953e-003	2.122311e-009	       NaN
3.100000e+000	4.820113e-001	4.816924e-001	0.000000e+000	1.000000e+000	-4.132149e-003	3.610841e-009	0.000000e+000	0.000000e+000	-2.224973e-009	-4.132147e-003	2.224973e-009	       NaN
3.200000e+000	4.820295e-001	4.816989e-001	0.000000e+000	1.000000e+000	-4.132318e-003	3.589873e-009	0.000000e+000	0.000000e+000	-2.306054e-009	-4.132317e-003	2.306054e-009	       NaN
