TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	4.741618e-002	3.823253e-002	2.002830e-004	0.000000e+000	4.323090e-005	1.444713e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240421e-005	-6.979551e-022	6.395099e-023
1.000000e-001	4.741618e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323090e-005	1.444713e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240421e-005	1.465706e-020	6.395099e-022
2.000000e-001	4.741618e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323090e-005	1.444713e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240421e-005	1.046933e-021	2.558040e-022
3.000000e-001	4.741618e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323090e-005	1.444713e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240421e-005	1.884479e-020	6.395099e-022
4.000000e-001	4.741618e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323090e-005	1.444713e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240421e-005	4.525890e-018	1.122340e-019
5.000000e-001	4.741618e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323090e-005	1.444713e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240421e-005	1.092418e-015	2.580205e-017
6.000000e-001	4.741618e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323091e-005	1.444715e-006	0.000000e+000	0.000000e+000	-2.271403e-006	4.240422e-005	5.681409e-014	1.279178e-015
7.000000e-001	4.741619e-002	3.823253e-002	2.002830e-004	1.000000e+000	4.323101e-005	1.444752e-006	0.000000e+000	0.000000e+000	-2.271404e-006	4.240436e-005	1.068780e-012	2.298341e-014
8.000000e-001	4.741627e-002	3.823256e-002	2.002832e-004	1.000000e+000	4.323187e-005	1.445009e-006	0.000000e+000	0.000000e+000	-2.271415e-006	4.240546e-005	9.948371e-012	2.049351e-013
9.000000e-001	4.741672e-002	3.823275e-002	2.002845e-004	1.000000e+000	4.323612e-005	1.446098e-006	0.000000e+000	0.000000e+000	-2.271473e-006	4.241074e-005	5.588365e-011	1.106638e-012
1.000000e+000	4.741852e-002	3.823360e-002	2.002901e-004	1.000000e+000	4.325051e-005	1.449245e-006	0.000000e+000	0.000000e+000	-2.271689e-006	4.242807e-005	2.159791e-010	4.126410e-012
1.100000e+000	4.742386e-002	3.823636e-002	2.003077e-004	1.000000e+000	4.328707e-005	1.456027e-006	0.000000e+000	0.000000e+000	-2.272277e-006	4.247082e-005	6.280443e-010	1.161792e-011
1.200000e+000	4.743646e-002	3.824337e-002	2.003513e-004	1.000000e+000	4.336108e-005	1.467588e-006	0.000000e+000	0.000000e+000	-2.273554e-006	4.255512e-005	1.463282e-009	2.629508e-011
1.300000e+000	4.746127e-002	3.825813e-002	2.004404e-004	1.000000e+000	4.348601e-005	1.483820e-006	0.000000e+000	0.000000e+000	-2.275867e-006	4.269396e-005	2.858393e-009	5.004658e-011
1.400000e+000	4.750349e-002	3.828472e-002	2.005971e-004	1.000000e+000	4.366765e-005	1.503074e-006	0.000000e+000	0.000000e+000	-2.279488e-006	4.289124e-005	4.840825e-009	8.280107e-011
1.500000e+000	4.756723e-002	3.832691e-002	2.008405e-004	1.000000e+000	4.390057e-005	1.522589e-006	0.000000e+000	0.000000e+000	-2.284516e-006	4.313864e-005	7.289471e-009	1.220962e-010
1.600000e+000	4.765434e-002	3.838713e-002	2.011811e-004	1.000000e+000	4.416845e-005	1.539393e-006	0.000000e+000	0.000000e+000	-2.290836e-006	4.341700e-005	9.951665e-009	1.635671e-010
1.700000e+000	4.776380e-002	3.846579e-002	2.016180e-004	1.000000e+000	4.444800e-005	1.551184e-006	0.000000e+000	0.000000e+000	-2.298140e-006	4.370105e-005	1.250630e-008	2.020781e-010
1.800000e+000	4.789185e-002	3.856100e-002	2.021385e-004	1.000000e+000	4.471453e-005	1.556861e-006	0.000000e+000	0.000000e+000	-2.305997e-006	4.396539e-005	1.464376e-008	2.329887e-010
1.900000e+000	4.803273e-002	3.866899e-002	2.027203e-004	1.000000e+000	4.494696e-005	1.556584e-006	0.000000e+000	0.000000e+000	-2.313947e-006	4.418960e-005	1.613270e-008	2.531051e-010
2.000000e+000	4.817967e-002	3.878475e-002	2.033357e-004	1.000000e+000	4.513122e-005	1.551480e-006	0.000000e+000	0.000000e+000	-2.321569e-006	4.436113e-005	1.685609e-008	2.611022e-010
2.100000e+000	4.832595e-002	3.890286e-002	2.039560e-004	1.000000e+000	4.526127e-005	1.543185e-006	0.000000e+000	0.000000e+000	-2.328542e-006	4.447591e-005	1.681374e-008	2.574328e-010
2.200000e+000	4.846572e-002	3.901824e-002	2.045553e-004	1.000000e+000	4.533831e-005	1.533396e-006	0.000000e+000	0.000000e+000	-2.334662e-006	4.453705e-005	1.609974e-008	2.438919e-010
2.300000e+000	4.859452e-002	3.912673e-002	2.051131e-004	1.000000e+000	4.536889e-005	1.523554e-006	0.000000e+000	0.000000e+000	-2.339838e-006	4.455260e-005	1.486736e-008	2.230374e-010
2.400000e+000	4.870942e-002	3.922530e-002	2.056152e-004	1.000000e+000	4.536256e-005	1.514686e-006	0.000000e+000	0.000000e+000	-2.344072e-006	4.453318e-005	1.329292e-008	1.976402e-010
2.500000e+000	4.880901e-002	3.931217e-002	2.060539e-004	1.000000e+000	4.532987e-005	1.507373e-006	0.000000e+000	0.000000e+000	-2.347435e-006	4.448981e-005	1.154631e-008	1.702626e-010
2.600000e+000	4.889312e-002	3.938666e-002	2.064272e-004	1.000000e+000	4.528075e-005	1.501820e-006	0.000000e+000	0.000000e+000	-2.350033e-006	4.443254e-005	9.771577e-009	1.430016e-010
2.700000e+000	4.896250e-002	3.944897e-002	2.067371e-004	1.000000e+000	4.522358e-005	1.497955e-006	0.000000e+000	0.000000e+000	-2.351990e-006	4.436954e-005	8.077557e-009	1.173838e-010
2.800000e+000	4.901853e-002	3.949995e-002	2.069890e-004	1.000000e+000	4.516476e-005	1.495543e-006	0.000000e+000	0.000000e+000	-2.353432e-006	4.430687e-005	6.536493e-009	9.437414e-011
2.900000e+000	4.906292e-002	3.954081e-002	2.071896e-004	1.000000e+000	4.510874e-005	1.494276e-006	0.000000e+000	0.000000e+000	-2.354470e-006	4.424854e-005	5.187966e-009	7.445462e-011
3.000000e+000	4.909746e-002	3.957296e-002	2.073465e-004	1.000000e+000	4.505821e-005	1.493842e-006	0.000000e+000	0.000000e+000	-2.355204e-006	4.419685e-005	4.045529e-009	5.773561e-011
3.100000e+000	4.912392e-002	3.959784e-002	2.074673e-004	1.000000e+000	4.501450e-005	1.493960e-006	0.000000e+000	0.000000e+000	-2.355712e-006	4.415275e-005	3.104082e-009	4.407032e-011
3.200000e+000	4.914389e-002	3.961679e-002	2.075588e-004	1.000000e+000	4.497794e-005	1.494407e-006	0.000000e+000	0.000000e+000	-2.356058e-006	4.411629e-005	2.346668e-009	3.315622e-011
3.300000e+000	4.915876e-002	3.963102e-002	2.076273e-004	1.000000e+000	4.494820e-005	1.495015e-006	0.000000e+000	0.000000e+000	-2.356289e-006	4.408693e-005	1.750044e-009	2.461530e-011
3.400000e+000	4.916970e-002	3.964157e-002	2.076778e-004	1.000000e+000	4.492459e-005	1.495669e-006	0.000000e+000	0.000000e+000	-2.356441e-006	4.406381e-005	1.288812e-009	1.805172e-011
