TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	6.366144e-002	5.133138e-002	6.366144e-002	0.000000e+000	5.074334e-005	1.528721e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962849e-005	-3.489776e-022	0.000000e+000
1.000000e-001	6.366144e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074334e-005	1.528721e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962849e-005	1.081830e-020	3.111150e-021
2.000000e-001	6.366144e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074334e-005	1.528721e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962849e-005	1.570399e-020	5.688960e-021
3.000000e-001	6.366144e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074334e-005	1.528721e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962849e-005	1.709990e-020	8.889001e-021
4.000000e-001	6.366144e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074334e-005	1.528721e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962849e-005	4.537057e-018	1.818690e-019
5.000000e-001	6.366144e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074334e-005	1.528721e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962849e-005	1.096202e-015	4.504546e-017
6.000000e-001	6.366145e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074334e-005	1.528723e-006	0.000000e+000	0.000000e+000	-2.643566e-006	4.962850e-005	5.701636e-014	2.560424e-015
7.000000e-001	6.366145e-002	5.133138e-002	6.366144e-002	1.000000e+000	5.074345e-005	1.528760e-006	0.000000e+000	0.000000e+000	-2.643567e-006	4.962864e-005	1.072726e-012	5.308476e-014
8.000000e-001	6.366153e-002	5.133141e-002	6.366145e-002	1.000000e+000	5.074431e-005	1.529018e-006	0.000000e+000	0.000000e+000	-2.643578e-006	4.962975e-005	9.986963e-012	5.483138e-013
9.000000e-001	6.366199e-002	5.133160e-002	6.366145e-002	1.000000e+000	5.074857e-005	1.530111e-006	0.000000e+000	0.000000e+000	-2.643637e-006	4.963505e-005	5.611473e-011	3.437557e-012
1.000000e+000	6.366379e-002	5.133246e-002	6.366147e-002	1.000000e+000	5.076304e-005	1.533273e-006	0.000000e+000	0.000000e+000	-2.643853e-006	4.965246e-005	2.169452e-010	1.490069e-011
1.100000e+000	6.366916e-002	5.133523e-002	6.366154e-002	1.000000e+000	5.079978e-005	1.540091e-006	0.000000e+000	0.000000e+000	-2.644444e-006	4.969543e-005	6.311272e-010	4.881285e-011
1.200000e+000	6.368182e-002	5.134228e-002	6.366174e-002	1.000000e+000	5.087422e-005	1.551725e-006	0.000000e+000	0.000000e+000	-2.645727e-006	4.978021e-005	1.471274e-009	1.286569e-010
1.300000e+000	6.370678e-002	5.135712e-002	6.366221e-002	1.000000e+000	5.099997e-005	1.568079e-006	0.000000e+000	0.000000e+000	-2.648053e-006	4.992000e-005	2.875988e-009	2.854870e-010
1.400000e+000	6.374930e-002	5.138388e-002	6.366319e-002	1.000000e+000	5.118303e-005	1.587511e-006	0.000000e+000	0.000000e+000	-2.651696e-006	5.011885e-005	4.874805e-009	5.515693e-010
1.500000e+000	6.381355e-002	5.142639e-002	6.366495e-002	1.000000e+000	5.141812e-005	1.607262e-006	0.000000e+000	0.000000e+000	-2.656759e-006	5.036862e-005	7.348460e-009	9.518432e-010
1.600000e+000	6.390148e-002	5.148715e-002	6.366784e-002	1.000000e+000	5.168905e-005	1.624349e-006	0.000000e+000	0.000000e+000	-2.663130e-006	5.065027e-005	1.004543e-008	1.496523e-009
1.700000e+000	6.401215e-002	5.156660e-002	6.367219e-002	1.000000e+000	5.197260e-005	1.636453e-006	0.000000e+000	0.000000e+000	-2.670502e-006	5.093855e-005	1.264475e-008	2.177479e-009
1.800000e+000	6.414188e-002	5.166297e-002	6.367831e-002	1.000000e+000	5.224401e-005	1.642451e-006	0.000000e+000	0.000000e+000	-2.678448e-006	5.120801e-005	1.483586e-008	2.969258e-009
1.900000e+000	6.428497e-002	5.177251e-002	6.368641e-002	1.000000e+000	5.248211e-005	1.642482e-006	0.000000e+000	0.000000e+000	-2.686504e-006	5.143809e-005	1.638553e-008	3.833865e-009
2.000000e+000	6.443468e-002	5.189026e-002	6.369661e-002	1.000000e+000	5.267266e-005	1.637657e-006	0.000000e+000	0.000000e+000	-2.694250e-006	5.161607e-005	1.717415e-008	4.727448e-009
2.100000e+000	6.458432e-002	5.201083e-002	6.370894e-002	1.000000e+000	5.280941e-005	1.629597e-006	0.000000e+000	0.000000e+000	-2.701363e-006	5.173764e-005	1.719865e-008	5.606960e-009
2.200000e+000	6.472802e-002	5.212914e-002	6.372331e-002	1.000000e+000	5.289335e-005	1.619993e-006	0.000000e+000	0.000000e+000	-2.707636e-006	5.180571e-005	1.655033e-008	6.435379e-009
2.300000e+000	6.486128e-002	5.224099e-002	6.373956e-002	1.000000e+000	5.293084e-005	1.610287e-006	0.000000e+000	0.000000e+000	-2.712976e-006	5.182815e-005	1.538004e-008	7.184854e-009
2.400000e+000	6.498115e-002	5.234335e-002	6.375749e-002	1.000000e+000	5.293127e-005	1.601510e-006	0.000000e+000	0.000000e+000	-2.717382e-006	5.181540e-005	1.386216e-008	7.837774e-009
