TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	3.484254e-001	3.484254e-001	1.471727e-003	0.000000e+000	4.843348e-005	5.498366e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676101e-005	0.000000e+000	2.558040e-022
1.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843348e-005	5.498366e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676101e-005	3.570477e-020	1.279020e-021
2.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843348e-005	5.498366e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676101e-005	3.570477e-020	1.279020e-021
3.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843348e-005	5.498366e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676101e-005	3.570477e-020	1.279020e-021
4.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843348e-005	5.498366e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676101e-005	5.022471e-018	1.197162e-019
5.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843348e-005	5.498367e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676101e-005	1.219389e-015	2.727075e-017
6.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843349e-005	5.498395e-007	0.000000e+000	0.000000e+000	-2.222307e-006	4.676102e-005	6.594081e-014	1.388623e-015
7.000000e-001	3.484254e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843361e-005	5.498809e-007	0.000000e+000	0.000000e+000	-2.222309e-006	4.676118e-005	1.304716e-012	2.592982e-014
8.000000e-001	3.484255e-001	3.484254e-001	1.471727e-003	1.000000e+000	4.843463e-005	5.501903e-007	0.000000e+000	0.000000e+000	-2.222321e-006	4.676250e-005	1.292613e-011	2.433474e-013
9.000000e-001	3.484260e-001	3.484257e-001	1.471729e-003	1.000000e+000	4.844003e-005	5.516004e-007	0.000000e+000	0.000000e+000	-2.222390e-006	4.676924e-005	7.819169e-011	1.400697e-012
1.000000e+000	3.484284e-001	3.484269e-001	1.471736e-003	1.000000e+000	4.845988e-005	5.560628e-007	0.000000e+000	0.000000e+000	-2.222656e-006	4.679328e-005	3.289976e-010	5.634382e-012
1.100000e+000	3.484362e-001	3.484313e-001	1.471761e-003	1.000000e+000	4.851520e-005	5.667609e-007	0.000000e+000	0.000000e+000	-2.223429e-006	4.685854e-005	1.051866e-009	1.730072e-011
1.200000e+000	3.484565e-001	3.484438e-001	1.471830e-003	1.000000e+000	4.863966e-005	5.873838e-007	0.000000e+000	0.000000e+000	-2.225224e-006	4.700182e-005	2.718029e-009	4.311599e-011
1.300000e+000	3.485006e-001	3.484730e-001	1.471985e-003	1.000000e+000	4.887568e-005	6.206843e-007	0.000000e+000	0.000000e+000	-2.228721e-006	4.726765e-005	5.932771e-009	9.111026e-011
1.400000e+000	3.485845e-001	3.485318e-001	1.472288e-003	1.000000e+000	4.926518e-005	6.669821e-007	0.000000e+000	0.000000e+000	-2.234622e-006	4.769754e-005	1.129901e-008	1.685508e-010
