TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	4.816508e-001	4.816508e-001	4.816508e-001	0.000000e+000	6.923762e-006	5.416988e-008	0.000000e+000	0.000000e+000	0.000000e+000	6.977932e-006	0.000000e+000	0.000000e+000
1.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923762e-006	5.416988e-008	0.000000e+000	0.000000e+000	-1.080129e-019	6.977932e-006	9.521273e-020	1.280016e-020
2.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923762e-006	5.416988e-008	0.000000e+000	0.000000e+000	-1.151241e-019	6.977932e-006	9.521273e-020	1.991136e-020
3.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923762e-006	5.416988e-008	0.000000e+000	0.000000e+000	-1.222353e-019	6.977932e-006	9.521273e-020	2.702256e-020
4.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923762e-006	5.416989e-008	0.000000e+000	0.000000e+000	-5.322319e-018	6.977932e-006	5.105782e-018	2.165361e-019
5.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923762e-006	5.416995e-008	0.000000e+000	0.000000e+000	-1.271528e-015	6.977932e-006	1.223948e-015	4.757998e-017
6.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923769e-006	5.417275e-008	0.000000e+000	0.000000e+000	-6.896280e-014	6.977942e-006	6.619296e-014	2.769844e-015
7.000000e-001	4.816508e-001	4.816508e-001	4.816508e-001	1.000000e+000	6.923887e-006	5.421433e-008	0.000000e+000	0.000000e+000	-1.369321e-012	6.978100e-006	1.309868e-012	5.945281e-014
8.000000e-001	4.816509e-001	4.816509e-001	4.816508e-001	1.000000e+000	6.924911e-006	5.452501e-008	0.000000e+000	0.000000e+000	-1.362191e-011	6.979423e-006	1.297945e-011	6.424599e-013
9.000000e-001	4.816515e-001	4.816511e-001	4.816508e-001	1.000000e+000	6.930336e-006	5.594147e-008	0.000000e+000	0.000000e+000	-8.278921e-011	6.986194e-006	7.853247e-011	4.256735e-012
1.000000e+000	4.816539e-001	4.816524e-001	4.816508e-001	1.000000e+000	6.950277e-006	6.042570e-008	0.000000e+000	0.000000e+000	-3.502107e-010	7.010353e-006	3.305301e-010	1.968063e-011
1.100000e+000	4.816618e-001	4.816568e-001	4.816509e-001	1.000000e+000	7.005893e-006	7.118162e-008	0.000000e+000	0.000000e+000	-1.126474e-009	7.075948e-006	1.057159e-009	6.931501e-011
