TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	5.458860e-002	1.753346e-004	6.782524e-007	0.000000e+000	4.631945e-005	1.964601e-006	0.000000e+000	0.000000e+000	-1.565470e-005	3.262935e-005	1.564439e-005	-1.282130e-025
1.000000e-001	4.337531e-002	3.386653e-002	1.158335e-004	1.000000e+000	3.680476e-005	1.561043e-006	0.000000e+000	0.000000e+000	-2.735677e-006	3.563013e-005	7.443726e-007	2.361030e-008
2.000000e-001	4.251950e-002	3.530126e-002	1.356514e-004	1.000000e+000	3.607859e-005	1.530244e-006	0.000000e+000	0.000000e+000	-2.076687e-006	3.553215e-005	1.111733e-009	1.409174e-009
3.000000e-001	4.218280e-002	3.512803e-002	1.360924e-004	1.000000e+000	3.579289e-005	1.518126e-006	0.000000e+000	0.000000e+000	-2.029658e-006	3.528136e-005	-3.572521e-008	-3.197088e-010
4.000000e-001	4.187415e-002	3.487631e-002	1.351829e-004	1.000000e+000	3.553100e-005	1.507018e-006	0.000000e+000	0.000000e+000	-2.013279e-006	3.502474e-005	-3.730351e-008	-4.196843e-010
5.000000e-001	4.156903e-002	3.462244e-002	1.342025e-004	1.000000e+000	3.527210e-005	1.496038e-006	0.000000e+000	0.000000e+000	-1.998533e-006	3.476961e-005	-3.712353e-008	-4.221746e-010
6.000000e-001	4.126620e-002	3.437023e-002	1.332250e-004	1.000000e+000	3.501519e-005	1.485164e-006	0.000000e+000	0.000000e+000	-1.983971e-006	3.451639e-005	-3.685706e-008	-4.193842e-010
7.000000e-001	4.096564e-002	3.411987e-002	1.322545e-004	1.000000e+000	3.476089e-005	1.474655e-006	0.000000e+000	0.000000e+000	-1.969528e-006	3.426602e-005	-3.657930e-008	-4.162798e-010
8.000000e-001	4.066776e-002	3.387155e-002	1.312917e-004	1.000000e+000	3.451355e-005	1.465926e-006	0.000000e+000	0.000000e+000	-1.955269e-006	3.402421e-005	-3.623862e-008	-4.126932e-010
9.000000e-001	4.037455e-002	3.362631e-002	1.303392e-004	1.000000e+000	3.428965e-005	1.463335e-006	0.000000e+000	0.000000e+000	-1.941467e-006	3.381152e-005	-3.562105e-008	-4.068124e-010
1.000000e+000	4.009201e-002	3.338761e-002	1.294074e-004	1.000000e+000	3.412984e-005	1.475406e-006	0.000000e+000	0.000000e+000	-1.928856e-006	3.367639e-005	-3.419807e-008	-3.937183e-010
1.100000e+000	3.983340e-002	3.316385e-002	1.285229e-004	1.000000e+000	3.410534e-005	1.513190e-006	0.000000e+000	0.000000e+000	-1.918831e-006	3.369970e-005	-3.106644e-008	-3.642839e-010
1.200000e+000	3.962103e-002	3.297038e-002	1.277373e-004	1.000000e+000	3.430783e-005	1.585455e-006	0.000000e+000	0.000000e+000	-1.913393e-006	3.397989e-005	-2.512999e-008	-3.064274e-010
1.300000e+000	3.948493e-002	3.282960e-002	1.271302e-004	1.000000e+000	3.482252e-005	1.693385e-006	0.000000e+000	0.000000e+000	-1.914738e-006	3.460117e-005	-1.550738e-008	-2.091328e-010
