TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	5.630554e-002	4.757446e-002	4.757446e-002	0.000000e+000	4.710175e-005	1.979471e-006	0.000000e+000	0.000000e+000	-2.511931e-006	4.656929e-005	7.155734e-022	0.000000e+000
1.000000e-001	5.630554e-002	4.757446e-002	4.757446e-002	1.000000e+000	4.710175e-005	1.979471e-006	0.000000e+000	0.000000e+000	-2.511931e-006	4.656929e-005	-3.935654e-021	-1.127698e-021
2.000000e-001	5.630554e-002	4.757446e-002	4.757446e-002	1.000000e+000	4.710175e-005	1.979471e-006	0.000000e+000	0.000000e+000	-2.511931e-006	4.656929e-005	-9.302455e-021	-1.420064e-021
3.000000e-001	5.630554e-002	4.757446e-002	4.757446e-002	1.000000e+000	4.710175e-005	1.979471e-006	0.000000e+000	0.000000e+000	-2.511931e-006	4.656929e-005	6.440161e-021	-1.420064e-021
4.000000e-001	5.630554e-002	4.757446e-002	4.757446e-002	1.000000e+000	4.710175e-005	1.979471e-006	0.000000e+000	0.000000e+000	-2.511931e-006	4.656929e-005	3.046912e-017	1.936299e-019
5.000000e-001	5.630554e-002	4.757446e-002	4.757446e-002	1.000000e+000	4.710175e-005	1.979472e-006	0.000000e+000	0.000000e+000	-2.511931e-006	4.656929e-005	4.921503e-015	4.427321e-017
6.000000e-001	5.630554e-002	4.757446e-002	4.757446e-002	1.000000e+000	4.710176e-005	1.979479e-006	0.000000e+000	0.000000e+000	-2.511932e-006	4.656931e-005	1.854082e-013	2.249070e-015
7.000000e-001	5.630556e-002	4.757447e-002	4.757446e-002	1.000000e+000	4.710197e-005	1.979559e-006	0.000000e+000	0.000000e+000	-2.511935e-006	4.656959e-005	2.713619e-012	4.302729e-014
8.000000e-001	5.630569e-002	4.757453e-002	4.757446e-002	1.000000e+000	4.710340e-005	1.980036e-006	0.000000e+000	0.000000e+000	-2.511956e-006	4.657148e-005	2.081573e-011	4.210518e-013
9.000000e-001	5.630640e-002	4.757489e-002	4.757446e-002	1.000000e+000	4.710961e-005	1.981808e-006	0.000000e+000	0.000000e+000	-2.512057e-006	4.657936e-005	1.007652e-010	2.551258e-012
1.000000e+000	5.630893e-002	4.757628e-002	4.757448e-002	1.000000e+000	4.712867e-005	1.986465e-006	0.000000e+000	0.000000e+000	-2.512386e-006	4.660275e-005	3.472454e-010	1.084399e-011
1.100000e+000	5.631587e-002	4.758037e-002	4.757452e-002	1.000000e+000	4.717361e-005	1.995834e-006	0.000000e+000	0.000000e+000	-2.513203e-006	4.665624e-005	9.240230e-010	3.519162e-011
1.200000e+000	5.633129e-002	4.759004e-002	4.757466e-002	1.000000e+000	4.725975e-005	2.011056e-006	0.000000e+000	0.000000e+000	-2.514856e-006	4.675595e-005	2.009634e-009	9.254868e-011
1.300000e+000	5.636032e-002	4.760921e-002	4.757500e-002	1.000000e+000	4.739951e-005	2.031773e-006	0.000000e+000	0.000000e+000	-2.517694e-006	4.691359e-005	3.721381e-009	2.059312e-010
1.400000e+000	5.640812e-002	4.764220e-002	4.757568e-002	1.000000e+000	4.759717e-005	2.055949e-006	0.000000e+000	0.000000e+000	-2.521956e-006	4.713117e-005	6.047648e-009	4.003524e-010
1.500000e+000	5.647859e-002	4.769271e-002	4.757694e-002	1.000000e+000	4.784613e-005	2.080436e-006	0.000000e+000	0.000000e+000	-2.527697e-006	4.739887e-005	8.825069e-009	6.968863e-010
1.600000e+000	5.657335e-002	4.776292e-002	4.757901e-002	1.000000e+000	4.812980e-005	2.101934e-006	0.000000e+000	0.000000e+000	-2.534760e-006	4.769697e-005	1.177051e-008	1.107022e-009
1.700000e+000	5.669125e-002	4.785284e-002	4.758217e-002	1.000000e+000	4.842546e-005	2.117899e-006	0.000000e+000	0.000000e+000	-2.542810e-006	4.800054e-005	1.455055e-008	1.629254e-009
1.800000e+000	5.682856e-002	4.796026e-002	4.758665e-002	1.000000e+000	4.870930e-005	2.127051e-006	0.000000e+000	0.000000e+000	-2.551409e-006	4.828494e-005	1.685859e-008	2.248815e-009
1.900000e+000	5.697965e-002	4.808115e-002	4.759267e-002	1.000000e+000	4.896099e-005	2.129434e-006	0.000000e+000	0.000000e+000	-2.560099e-006	4.853032e-005	1.847397e-008	2.940252e-009
2.000000e+000	5.713794e-002	4.821035e-002	4.760034e-002	1.000000e+000	4.916657e-005	2.126115e-006	0.000000e+000	0.000000e+000	-2.568469e-006	4.872422e-005	1.929035e-008	3.671765e-009
2.100000e+000	5.729686e-002	4.834239e-002	4.760973e-002	1.000000e+000	4.931945e-005	2.118736e-006	0.000000e+000	0.000000e+000	-2.576202e-006	4.886198e-005	1.931368e-008	4.410007e-009
2.200000e+000	5.745055e-002	4.847213e-002	4.762081e-002	1.000000e+000	4.941973e-005	2.109067e-006	0.000000e+000	0.000000e+000	-2.583091e-006	4.894570e-005	1.863883e-008	5.124252e-009
2.300000e+000	5.759439e-002	4.859530e-002	4.763349e-002	1.000000e+000	4.947263e-005	2.098680e-006	0.000000e+000	0.000000e+000	-2.589038e-006	4.898227e-005	1.741625e-008	5.789326e-009
2.400000e+000	5.772520e-002	4.870877e-002	4.764765e-002	1.000000e+000	4.948648e-005	2.088769e-006	0.000000e+000	0.000000e+000	-2.594029e-006	4.898122e-005	1.581866e-008	6.387089e-009
2.500000e+000	5.784119e-002	4.881054e-002	4.766310e-002	1.000000e+000	4.947086e-005	2.080098e-006	0.000000e+000	0.000000e+000	-2.598117e-006	4.895284e-005	1.401395e-008	6.906677e-009
2.600000e+000	5.794177e-002	4.889973e-002	4.767967e-002	1.000000e+000	4.943519e-005	2.073044e-006	0.000000e+000	0.000000e+000	-2.601397e-006	4.890683e-005	1.214719e-008	7.343793e-009
2.700000e+000	5.802733e-002	4.897631e-002	4.769715e-002	1.000000e+000	4.938774e-005	2.067679e-006	0.000000e+000	0.000000e+000	-2.603980e-006	4.885144e-005	1.033140e-008	7.699479e-009
2.800000e+000	5.809890e-002	4.904091e-002	4.771537e-002	1.000000e+000	4.933520e-005	2.063876e-006	0.000000e+000	0.000000e+000	-2.605984e-006	4.879309e-005	8.645520e-009	7.978667e-009
2.900000e+000	5.815794e-002	4.909460e-002	4.773416e-002	1.000000e+000	4.928250e-005	2.061398e-006	0.000000e+000	0.000000e+000	-2.607521e-006	4.873637e-005	7.137234e-009	8.188785e-009
3.000000e+000	5.820609e-002	4.913869e-002	4.775336e-002	1.000000e+000	4.923296e-005	2.059962e-006	0.000000e+000	0.000000e+000	-2.608690e-006	4.868424e-005	5.828415e-009	8.338554e-009
3.100000e+000	5.824501e-002	4.917454e-002	4.777285e-002	1.000000e+000	4.918858e-005	2.059298e-006	0.000000e+000	0.000000e+000	-2.609574e-006	4.863830e-005	4.721542e-009	8.437045e-009
3.200000e+000	5.827631e-002	4.920351e-002	4.779252e-002	1.000000e+000	4.915028e-005	2.059164e-006	0.000000e+000	0.000000e+000	-2.610244e-006	4.859920e-005	3.805867e-009	8.493017e-009
3.300000e+000	5.830141e-002	4.922683e-002	4.781228e-002	1.000000e+000	4.911825e-005	2.059367e-006	0.000000e+000	0.000000e+000	-2.610754e-006	4.856687e-005	3.062682e-009	8.514490e-009
3.400000e+000	5.832155e-002	4.924562e-002	4.783205e-002	1.000000e+000	4.909219e-005	2.059759e-006	0.000000e+000	0.000000e+000	-2.611146e-006	4.854080e-005	2.469443e-009	8.508518e-009
3.500000e+000	5.833780e-002	4.926080e-002	4.785179e-002	1.000000e+000	4.907150e-005	2.060238e-006	0.000000e+000	0.000000e+000	-2.611454e-006	4.852028e-005	2.002721e-009	8.481114e-009
3.600000e+000	5.835102e-002	4.927316e-002	4.787144e-002	1.000000e+000	4.905546e-005	2.060733e-006	0.000000e+000	0.000000e+000	-2.611700e-006	4.850450e-005	1.640145e-009	8.437270e-009
