TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	4.587380e-001	1.738323e-003	6.724412e-006	0.000000e+000	1.497556e-005	2.432790e-007	0.000000e+000	0.000000e+000	-1.314788e-004	-1.162600e-004	1.314684e-004	-2.051408e-024
1.000000e-001	3.393084e-001	3.052220e-001	1.034723e-003	1.000000e+000	1.107677e-005	1.799428e-007	0.000000e+000	0.000000e+000	-9.806643e-006	1.450065e-006	7.975679e-006	2.271430e-007
2.000000e-001	3.287715e-001	3.217466e-001	1.234377e-003	1.000000e+000	1.073279e-005	1.743549e-007	0.000000e+000	0.000000e+000	-2.021071e-006	8.886073e-006	9.184379e-008	1.594270e-008
3.000000e-001	3.252183e-001	3.199678e-001	1.240009e-003	1.000000e+000	1.061679e-005	1.724705e-007	0.000000e+000	0.000000e+000	-1.510579e-006	9.278685e-006	-4.079067e-007	-3.527454e-009
4.000000e-001	3.221383e-001	3.170462e-001	1.229581e-003	1.000000e+000	1.051625e-005	1.708372e-007	0.000000e+000	0.000000e+000	-1.465007e-006	9.222077e-006	-4.359561e-007	-4.887859e-009
5.000000e-001	3.191153e-001	3.140779e-001	1.218130e-003	1.000000e+000	1.041756e-005	1.692349e-007	0.000000e+000	0.000000e+000	-1.449261e-006	9.137536e-006	-4.339043e-007	-4.935296e-009
6.000000e-001	3.161224e-001	3.111327e-001	1.206711e-003	1.000000e+000	1.031993e-005	1.676795e-007	0.000000e+000	0.000000e+000	-1.435542e-006	9.052066e-006	-4.299643e-007	-4.895080e-009
7.000000e-001	3.131579e-001	3.082149e-001	1.195394e-003	1.000000e+000	1.022421e-005	1.665325e-007	0.000000e+000	0.000000e+000	-1.422085e-006	8.968654e-006	-4.259264e-007	-4.849472e-009
8.000000e-001	3.102218e-001	3.053248e-001	1.184185e-003	1.000000e+000	1.013692e-005	1.679519e-007	0.000000e+000	0.000000e+000	-1.408869e-006	8.896004e-006	-4.218142e-007	-4.803147e-009
9.000000e-001	3.073172e-001	3.024639e-001	1.173086e-003	1.000000e+000	1.008552e-005	1.794926e-007	0.000000e+000	0.000000e+000	-1.396294e-006	8.868721e-006	-4.172360e-007	-4.753144e-009
1.000000e+000	3.044548e-001	2.996388e-001	1.162116e-003	1.000000e+000	1.014788e-005	2.186867e-007	0.000000e+000	0.000000e+000	-1.385557e-006	8.981011e-006	-4.110334e-007	-4.689100e-009
1.100000e+000	3.016620e-001	2.968680e-001	1.151333e-003	1.000000e+000	1.048624e-005	3.144878e-007	0.000000e+000	0.000000e+000	-1.379215e-006	9.421517e-006	-4.007629e-007	-4.587607e-009
1.200000e+000	2.989938e-001	2.941920e-001	1.140866e-003	1.000000e+000	1.136279e-005	5.017189e-007	0.000000e+000	0.000000e+000	-1.381462e-006	1.048305e-005	-3.824715e-007	-4.408436e-009
1.300000e+000	2.965407e-001	2.916822e-001	1.130957e-003	1.000000e+000	1.311568e-005	8.089628e-007	0.000000e+000	0.000000e+000	-1.397775e-006	1.252687e-005	-3.511117e-007	-4.097111e-009
1.400000e+000	2.944293e-001	2.894455e-001	1.121982e-003	1.000000e+000	1.609254e-005	1.245040e-006	0.000000e+000	0.000000e+000	-1.433848e-006	1.590373e-005	-3.016287e-007	-3.595283e-009
1.500000e+000	2.928123e-001	2.876189e-001	1.114441e-003	1.000000e+000	2.056040e-005	1.790562e-006	0.000000e+000	0.000000e+000	-1.494143e-006	2.085682e-005	-2.303847e-007	-2.856194e-009
1.600000e+000	2.918496e-001	2.863559e-001	1.108915e-003	1.000000e+000	2.662293e-005	2.398488e-006	0.000000e+000	0.000000e+000	-1.580553e-006	2.744086e-005	-1.364056e-007	-1.859750e-009
1.700000e+000	2.916854e-001	2.858055e-001	1.105990e-003	1.000000e+000	3.417263e-005	3.003322e-006	0.000000e+000	0.000000e+000	-1.691646e-006	3.548431e-005	-2.201700e-008	-6.218715e-010
