TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	4.816645e-001	4.816645e-001	4.816645e-001	0.000000e+000	6.818740e-006	1.067806e-007	0.000000e+000	0.000000e+000	0.000000e+000	6.925521e-006	0.000000e+000	0.000000e+000
1.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.818740e-006	1.067806e-007	0.000000e+000	0.000000e+000	1.756761e-019	6.925521e-006	-1.726689e-019	-3.007194e-021
2.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.818740e-006	1.067806e-007	0.000000e+000	0.000000e+000	1.756761e-019	6.925521e-006	-1.659863e-019	-9.689849e-021
3.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.818740e-006	1.067806e-007	0.000000e+000	0.000000e+000	1.756761e-019	6.925521e-006	-1.593036e-019	-1.637250e-020
4.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.818740e-006	1.067806e-007	0.000000e+000	0.000000e+000	-3.341041e-017	6.925521e-006	3.322095e-017	1.894533e-019
5.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.818741e-006	1.067809e-007	0.000000e+000	0.000000e+000	-5.658864e-015	6.925522e-006	5.608862e-015	5.000229e-017
6.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.818758e-006	1.067890e-007	0.000000e+000	0.000000e+000	-2.249563e-013	6.925547e-006	2.222987e-013	2.657549e-015
7.000000e-001	4.816645e-001	4.816645e-001	4.816645e-001	1.000000e+000	6.819004e-006	1.068854e-007	0.000000e+000	0.000000e+000	-3.520872e-012	6.925886e-006	3.467144e-012	5.372873e-014
8.000000e-001	4.816647e-001	4.816646e-001	4.816645e-001	1.000000e+000	6.820823e-006	1.074996e-007	0.000000e+000	0.000000e+000	-2.924547e-011	6.928294e-006	2.868440e-011	5.610674e-013
