TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000e-001	1.906755e-029	1.436899e-030	8.124818e-034	1.000000e+000	3.806543e-032	1.200886e-031	0.000000e+000	0.000000e+000	-5.167157e-033	1.529868e-031	5.158481e-033	8.675814e-036
2.000000e-001	1.341486e-020	1.594893e-021	1.473422e-024	1.000000e+000	4.974620e-024	4.878990e-023	0.000000e+000	0.000000e+000	-3.464172e-024	5.030035e-023	3.454546e-024	9.626308e-027
3.000000e-001	1.773691e-015	3.087257e-016	4.403195e-019	1.000000e+000	-1.499416e-018	3.927983e-018	0.000000e+000	0.000000e+000	-4.293491e-019	1.999218e-018	4.274867e-019	1.862442e-021
4.000000e-001	3.440942e-012	8.131799e-013	1.685489e-015	1.000000e+000	-6.223960e-015	4.917627e-015	0.000000e+000	0.000000e+000	-7.701394e-016	-2.076473e-015	7.652370e-016	4.902474e-018
5.000000e-001	6.309811e-010	1.901742e-010	5.442858e-013	1.000000e+000	-1.641037e-012	6.113124e-013	0.000000e+000	0.000000e+000	-1.291908e-013	-1.158915e-012	1.280452e-013	1.145610e-015
6.000000e-001	2.763037e-008	1.010668e-008	3.832394e-011	1.000000e+000	-9.020492e-011	1.888024e-011	0.000000e+000	0.000000e+000	-5.135808e-012	-7.646048e-011	5.074982e-012	6.082584e-014
7.000000e-001	4.793940e-007	2.047442e-007	9.950383e-010	1.000000e+000	-1.835408e-009	2.383856e-010	0.000000e+000	0.000000e+000	-8.049384e-011	-1.677517e-009	7.926293e-011	1.230908e-012
8.000000e-001	4.430700e-006	2.144405e-006	1.300521e-008	1.000000e+000	-1.911030e-008	1.642754e-009	0.000000e+000	0.000000e+000	-6.700629e-010	-1.813761e-008	6.571865e-010	1.287641e-011
9.000000e-001	2.618088e-005	1.403183e-005	1.039409e-007	1.000000e+000	-1.239485e-007	7.372554e-009	0.000000e+000	0.000000e+000	-3.560617e-009	-1.201366e-007	3.476475e-009	8.414245e-011
