RUN           	REACH         	DISPERSION    	AREA          	AREA2         	AREA3         	ALPHA         	ALPHA3        	QLATIN        	Objective Func
0.000000e+000	1.000000e+000	6.000000e-001	2.000000e-001	7.700000e-002	4.000000e-001	4.000000e-003	1.000000e-004	7.300000e-007	2.480082e+000
1.000000e+000	1.000000e+000	1.215353e+000	2.263870e-001	8.715899e-002	7.465403e-002	7.624114e-003	1.612465e-003	7.300000e-007	4.523072e+000
2.000000e+000	1.000000e+000	1.001447e+000	5.809853e-001	2.236794e-001	9.470730e-001	3.849863e-003	8.534829e-004	7.300000e-007	7.139760e+000
3.000000e+000	1.000000e+000	8.113897e-001	3.891214e-001	1.498117e-001	9.338262e-001	2.637516e-003	4.961586e-003	7.300000e-007	7.607581e+000
4.000000e+000	1.000000e+000	9.572682e-001	8.825993e-002	3.398007e-002	1.622948e-001	2.512686e-003	2.061007e-003	7.300000e-007	1.917493e+000
5.000000e+000	1.000000e+000	8.149926e-001	3.712004e-001	1.429121e-001	3.058213e-001	7.265201e-003	1.736944e-003	7.300000e-007	7.968817e+000
6.000000e+000	1.000000e+000	3.165829e-001	5.738945e-001	2.209494e-001	2.712789e-001	1.910038e-003	3.690360e-003	7.300000e-007	8.808253e+000
7.000000e+000	1.000000e+000	1.073296e+000	5.492944e-002	2.114783e-002	6.383147e-001	2.945218e-003	1.225512e-003	7.300000e-007	3.723090e+000
8.000000e+000	1.000000e+000	1.178849e+000	1.856543e-001	7.147690e-002	3.549966e-001	1.494232e-004	1.393925e-003	7.300000e-007	4.308642e+000
9.000000e+000	1.000000e+000	1.405508e+000	4.500095e-001	1.732537e-001	5.679527e-001	2.953239e-003	5.853114e-004	7.300000e-007	6.653823e+000
1.000000e+001	1.000000e+000	5.035568e-001	4.488012e-001	1.727885e-001	6.443277e-001	4.182923e-003	3.813506e-003	7.300000e-007	8.389305e+000
1.100000e+001	1.000000e+000	1.283541e+000	9.993554e-002	3.847518e-002	9.400413e-001	4.112726e-003	5.206951e-004	7.300000e-007	3.223232e+000
1.200000e+001	1.000000e+000	3.239510e-001	4.245319e-001	1.634448e-001	2.322431e-002	3.968862e-003	2.423703e-003	7.300000e-007	8.942600e+000
1.300000e+001	1.000000e+000	8.578303e-001	7.872966e-002	3.031092e-002	9.269884e-001	5.873505e-003	4.547243e-003	7.300000e-007	6.589265e+000
1.400000e+001	1.000000e+000	8.490808e-001	9.740041e-002	3.749916e-002	4.755501e-001	4.930704e-003	3.617362e-003	7.300000e-007	5.791904e+000
1.500000e+001	1.000000e+000	8.962204e-001	1.811672e-001	6.974935e-002	2.374975e-001	4.815702e-004	4.750081e-003	7.300000e-007	4.993896e+000
1.600000e+001	1.000000e+000	4.238375e-001	2.213496e-001	8.521959e-002	1.404353e-001	6.998331e-003	4.920820e-003	7.300000e-007	7.537748e+000
1.700000e+001	1.000000e+000	6.815936e-001	5.029817e-002	1.936479e-002	1.203135e-001	2.117566e-003	1.380194e-003	7.300000e-007	2.223924e+000
1.800000e+001	1.000000e+000	1.196847e+000	3.176995e-001	1.223143e-001	4.147976e-001	5.552489e-003	3.248434e-003	7.300000e-007	7.389545e+000
1.900000e+001	1.000000e+000	4.002240e-001	4.518755e-001	1.739721e-001	5.887593e-001	4.707475e-003	8.008619e-004	7.300000e-007	8.338221e+000
2.000000e+001	1.000000e+000	8.015048e-001	5.019198e-001	1.932391e-001	8.478172e-001	4.261340e-003	3.566810e-003	7.300000e-007	7.644491e+000
2.100000e+001	1.000000e+000	7.568487e-001	3.060526e-001	1.178302e-001	5.065047e-001	1.588778e-003	4.835062e-003	7.300000e-007	7.736049e+000
2.200000e+001	1.000000e+000	2.580310e-001	1.100944e-001	4.238634e-002	3.813992e-001	2.021142e-003	2.232627e-003	7.300000e-007	4.911705e+000
2.300000e+001	1.000000e+000	4.053485e-001	2.069095e-001	7.966016e-002	8.708770e-001	6.723457e-003	3.938370e-003	7.300000e-007	8.700824e+000
2.400000e+001	1.000000e+000	1.381713e+000	3.721387e-001	1.432734e-001	9.733925e-001	5.806041e-003	4.985032e-003	7.300000e-007	7.452783e+000
2.500000e+001	1.000000e+000	5.772345e-001	5.005073e-001	1.926953e-001	6.856359e-001	5.062006e-004	3.802845e-003	7.300000e-007	7.448149e+000
2.600000e+001	1.000000e+000	3.469121e-001	2.252596e-001	8.672494e-002	6.180434e-001	2.790051e-003	4.249828e-003	7.300000e-007	8.439649e+000
2.700000e+001	1.000000e+000	9.959571e-001	2.770474e-001	1.066632e-001	1.628801e-001	4.007069e-003	4.263810e-003	7.300000e-007	6.385813e+000
2.800000e+001	1.000000e+000	7.328588e-001	5.185166e-001	1.996289e-001	2.652795e-002	3.662835e-004	2.224831e-003	7.300000e-007	7.020249e+000
2.900000e+001	1.000000e+000	9.686033e-001	4.613305e-001	1.776122e-001	5.163706e-001	6.866860e-003	2.181156e-003	7.300000e-007	7.793698e+000
3.000000e+001	1.000000e+000	8.967603e-001	4.901335e-001	1.887014e-001	6.839428e-001	3.208498e-004	4.371106e-003	7.300000e-007	7.046849e+000
3.100000e+001	1.000000e+000	6.819501e-001	2.581013e-001	9.936900e-002	2.049577e-001	6.987570e-003	1.750244e-003	7.300000e-007	7.327045e+000
3.200000e+001	1.000000e+000	1.177806e+000	4.882123e-001	1.879617e-001	9.719086e-001	4.193310e-003	3.057322e-003	7.300000e-007	7.344421e+000
3.300000e+001	1.000000e+000	3.278245e-001	7.888227e-002	3.036967e-002	5.937901e-001	4.592286e-003	4.291315e-003	7.300000e-007	6.074673e+000
3.400000e+001	1.000000e+000	1.329455e+000	5.107908e-001	1.966545e-001	9.296471e-001	9.236695e-004	4.540054e-003	7.300000e-007	7.092605e+000
3.500000e+001	1.000000e+000	1.025059e+000	1.692658e-001	6.516732e-002	5.492458e-001	5.978072e-003	4.325804e-003	7.300000e-007	7.456237e+000
3.600000e+001	1.000000e+000	1.045619e+000	8.757908e-002	3.371795e-002	3.548704e-001	4.386122e-003	9.633665e-004	7.300000e-007	2.891512e+000
