RUN           	REACH         	DISPERSION    	AREA          	AREA2         	AREA3         	ALPHA         	ALPHA3        	QLATIN        	Objective Func
0.000000e+000	1.000000e+000	5.000000e-003	1.600000e-001	1.100000e-002	0.000000e+000	5.000000e-003	0.000000e+000	5.600000e-004	2.975067e+000
1.000000e+000	1.000000e+000	5.205095e-003	1.781182e-001	9.817029e-003	0.000000e+000	8.029367e-003	0.000000e+000	5.600000e-004	1.926370e+001
2.000000e+000	1.000000e+000	3.886332e-003	1.646599e-001	1.220875e-002	0.000000e+000	1.587764e-003	0.000000e+000	5.600000e-004	7.772913e+000
3.000000e+000	1.000000e+000	2.521312e-003	1.778615e-001	1.205450e-002	0.000000e+000	9.688851e-003	0.000000e+000	5.600000e-004	1.989109e+001
4.000000e+000	1.000000e+000	3.959656e-003	1.646634e-001	1.899737e-002	0.000000e+000	9.930716e-003	0.000000e+000	5.600000e-004	1.123815e+001
5.000000e+000	1.000000e+000	6.242626e-003	1.564409e-001	6.043453e-003	0.000000e+000	3.819046e-003	0.000000e+000	5.600000e-004	7.726547e+000
6.000000e+000	1.000000e+000	2.384498e-003	1.763214e-001	1.019122e-002	0.000000e+000	5.257641e-003	0.000000e+000	5.600000e-004	1.775017e+001
7.000000e+000	1.000000e+000	6.256006e-003	1.435872e-001	8.567029e-003	0.000000e+000	3.689285e-003	0.000000e+000	5.600000e-004	1.989446e+001
8.000000e+000	1.000000e+000	7.637923e-003	1.505567e-001	1.507649e-002	0.000000e+000	9.572819e-003	0.000000e+000	5.600000e-004	6.891922e+000
9.000000e+000	1.000000e+000	4.306253e-003	1.403585e-001	1.451992e-002	0.000000e+000	3.192306e-003	0.000000e+000	5.600000e-004	2.099371e+001
1.000000e+001	1.000000e+000	7.776650e-003	1.510936e-001	8.699662e-003	0.000000e+000	1.157047e-003	0.000000e+000	5.600000e-004	1.857632e+001
1.100000e+001	1.000000e+000	4.136333e-003	1.547346e-001	6.729393e-003	0.000000e+000	9.345827e-003	0.000000e+000	5.600000e-004	8.047756e+000
1.200000e+001	1.000000e+000	7.545610e-003	1.493402e-001	1.283402e-002	0.000000e+000	6.072297e-003	0.000000e+000	5.600000e-004	1.123959e+001
1.300000e+001	1.000000e+000	7.860030e-003	1.656294e-001	1.750239e-002	0.000000e+000	7.525838e-003	0.000000e+000	5.600000e-004	1.022275e+001
1.400000e+001	1.000000e+000	5.621344e-003	1.436317e-001	1.909154e-002	0.000000e+000	1.921093e-003	0.000000e+000	5.600000e-004	2.262727e+001
1.500000e+001	1.000000e+000	1.858122e-003	1.593483e-001	1.521451e-002	0.000000e+000	5.459294e-003	0.000000e+000	5.600000e-004	4.489793e+000
1.600000e+001	1.000000e+000	1.120221e-003	1.693542e-001	1.863901e-002	0.000000e+000	5.554210e-003	0.000000e+000	5.600000e-004	1.274155e+001
1.700000e+001	1.000000e+000	1.470122e-003	1.599717e-001	1.423787e-002	0.000000e+000	9.336258e-003	0.000000e+000	5.600000e-004	5.471426e+000
1.800000e+001	1.000000e+000	7.506264e-003	1.588101e-001	1.303331e-002	0.000000e+000	1.775643e-003	0.000000e+000	5.600000e-004	8.017988e+000
1.900000e+001	1.000000e+000	1.531180e-003	1.495394e-001	8.446932e-003	0.000000e+000	9.549244e-003	0.000000e+000	5.600000e-004	1.266749e+001
2.000000e+001	1.000000e+000	2.549644e-003	1.793653e-001	9.673170e-003	0.000000e+000	8.871712e-003	0.000000e+000	5.600000e-004	2.077780e+001
2.100000e+001	1.000000e+000	2.185776e-003	1.505510e-001	9.118820e-003	0.000000e+000	4.334109e-003	0.000000e+000	5.600000e-004	1.381825e+001
2.200000e+001	1.000000e+000	1.004879e-003	1.706722e-001	1.540517e-002	0.000000e+000	2.002850e-003	0.000000e+000	5.600000e-004	1.353473e+001
2.300000e+001	1.000000e+000	6.840863e-003	1.563555e-001	7.310277e-003	0.000000e+000	5.380537e-003	0.000000e+000	5.600000e-004	5.812887e+000
2.400000e+001	1.000000e+000	6.291273e-003	1.692273e-001	1.376908e-002	0.000000e+000	2.426404e-003	0.000000e+000	5.600000e-004	9.709396e+000
2.500000e+001	1.000000e+000	5.164264e-003	1.685115e-001	1.732508e-002	0.000000e+000	5.788744e-003	0.000000e+000	5.600000e-004	1.157235e+001
2.600000e+001	1.000000e+000	8.616520e-003	1.479038e-001	1.950419e-002	0.000000e+000	4.855107e-003	0.000000e+000	5.600000e-004	1.355753e+001
2.700000e+001	1.000000e+000	5.189951e-003	1.417856e-001	8.775610e-003	0.000000e+000	5.513679e-003	0.000000e+000	5.600000e-004	1.984389e+001
2.800000e+001	1.000000e+000	5.008745e-003	1.550060e-001	7.369406e-003	0.000000e+000	1.983363e-003	0.000000e+000	5.600000e-004	1.224924e+001
2.900000e+001	1.000000e+000	8.562092e-003	1.514116e-001	1.804359e-002	0.000000e+000	8.085236e-003	0.000000e+000	5.600000e-004	7.392553e+000
3.000000e+001	1.000000e+000	9.181087e-003	1.798800e-001	1.378560e-002	0.000000e+000	7.528707e-003	0.000000e+000	5.600000e-004	1.898251e+001
3.100000e+001	1.000000e+000	9.758113e-003	1.424841e-001	1.640134e-002	0.000000e+000	3.611624e-003	0.000000e+000	5.600000e-004	1.851995e+001
3.200000e+001	1.000000e+000	8.371937e-003	1.445204e-001	1.021912e-002	0.000000e+000	7.142144e-003	0.000000e+000	5.600000e-004	1.591424e+001
3.300000e+001	1.000000e+000	8.646984e-003	1.645674e-001	1.418412e-002	0.000000e+000	3.867884e-003	0.000000e+000	5.600000e-004	6.171003e+000
3.400000e+001	1.000000e+000	5.502331e-003	1.565125e-001	7.316365e-003	0.000000e+000	8.672203e-003	0.000000e+000	5.600000e-004	5.158648e+000
3.500000e+001	1.000000e+000	4.689023e-003	1.577542e-001	1.777773e-002	0.000000e+000	1.401321e-003	0.000000e+000	5.600000e-004	1.122594e+001
3.600000e+001	1.000000e+000	5.603369e-003	1.415562e-001	1.810954e-002	0.000000e+000	5.823725e-003	0.000000e+000	5.600000e-004	1.623606e+001
3.700000e+001	1.000000e+000	3.695049e-003	1.640532e-001	1.477532e-002	0.000000e+000	4.941823e-003	0.000000e+000	5.600000e-004	7.091785e+000
3.800000e+001	1.000000e+000	4.466936e-003	1.729411e-001	1.223757e-002	0.000000e+000	2.297475e-003	0.000000e+000	5.600000e-004	1.341810e+001
3.900000e+001	1.000000e+000	4.597996e-003	1.491975e-001	5.795445e-003	0.000000e+000	7.144299e-003	0.000000e+000	5.600000e-004	1.631845e+001
4.000000e+001	1.000000e+000	5.867954e-003	1.642198e-001	1.177567e-002	0.000000e+000	3.605878e-003	0.000000e+000	5.600000e-004	5.759275e+000
4.100000e+001	1.000000e+000	1.172711e-003	1.432872e-001	1.163786e-002	0.000000e+000	1.627091e-003	0.000000e+000	5.600000e-004	2.524274e+001
4.200000e+001	1.000000e+000	7.178993e-003	1.707318e-001	1.324867e-002	0.000000e+000	6.053303e-003	0.000000e+000	5.600000e-004	1.305111e+001
4.300000e+001	1.000000e+000	4.062650e-003	1.441853e-001	9.077734e-003	0.000000e+000	3.863280e-003	0.000000e+000	5.600000e-004	1.957750e+001
4.400000e+001	1.000000e+000	6.399907e-003	1.640952e-001	1.220593e-002	0.000000e+000	5.505797e-003	0.000000e+000	5.600000e-004	6.681912e+000
4.500000e+001	1.000000e+000	4.238829e-003	1.697432e-001	1.883501e-002	0.000000e+000	5.707704e-003	0.000000e+000	5.600000e-004	1.264037e+001
4.600000e+001	1.000000e+000	5.741677e-003	1.597665e-001	9.241342e-003	0.000000e+000	4.291210e-003	0.000000e+000	5.600000e-004	3.051593e+000
4.700000e+001	1.000000e+000	5.325340e-003	1.560757e-001	7.457713e-003	0.000000e+000	3.633015e-003	0.000000e+000	5.600000e-004	7.795067e+000
4.800000e+001	1.000000e+000	6.131265e-003	1.620903e-001	1.101888e-002	0.000000e+000	5.037602e-003	0.000000e+000	5.600000e-004	4.239874e+000
4.900000e+001	1.000000e+000	3.824838e-003	1.736981e-001	8.683922e-003	0.000000e+000	2.895047e-003	0.000000e+000	5.600000e-004	1.474806e+001
5.000000e+001	1.000000e+000	6.615417e-003	1.554297e-001	1.179650e-002	0.000000e+000	5.277985e-003	0.000000e+000	5.600000e-004	5.682745e+000
5.100000e+001	1.000000e+000	5.488174e-003	1.750561e-001	1.296133e-002	0.000000e+000	6.114114e-003	0.000000e+000	5.600000e-004	1.639109e+001
5.200000e+001	1.000000e+000	1.750295e-003	1.443993e-001	1.184078e-002	0.000000e+000	2.207056e-003	0.000000e+000	5.600000e-004	2.275290e+001
5.300000e+001	1.000000e+000	4.527087e-003	1.714651e-001	1.203508e-002	0.000000e+000	5.629408e-003	0.000000e+000	5.600000e-004	1.380191e+001
5.400000e+001	1.000000e+000	8.379495e-003	1.584024e-001	1.572020e-002	0.000000e+000	8.177970e-003	0.000000e+000	5.600000e-004	4.513177e+000
5.500000e+001	1.000000e+000	6.221203e-003	1.549775e-001	1.133870e-002	0.000000e+000	3.757712e-003	0.000000e+000	5.600000e-004	8.327858e+000
5.600000e+001	1.000000e+000	6.240487e-003	1.527775e-001	1.692107e-002	0.000000e+000	3.857552e-003	0.000000e+000	5.600000e-004	1.098832e+001
5.700000e+001	1.000000e+000	4.751503e-003	1.712425e-001	1.340185e-002	0.000000e+000	7.517881e-003	0.000000e+000	5.600000e-004	1.453483e+001
5.800000e+001	1.000000e+000	5.868241e-003	1.573938e-001	1.604127e-002	0.000000e+000	4.772634e-003	0.000000e+000	5.600000e-004	5.378060e+000
5.900000e+001	1.000000e+000	5.164264e-003	1.685115e-001	1.732508e-002	0.000000e+000	5.788744e-003	0.000000e+000	5.600000e-004	1.157235e+001
6.000000e+001	1.000000e+000	5.956968e-003	1.583610e-001	1.283530e-002	0.000000e+000	4.265470e-003	0.000000e+000	5.600000e-004	4.373905e+000
6.100000e+001	1.000000e+000	9.794765e-003	1.461696e-001	1.744350e-002	0.000000e+000	1.989235e-003	0.000000e+000	5.600000e-004	2.013280e+001
6.200000e+001	1.000000e+000	4.237065e-003	1.687835e-001	1.200429e-002	0.000000e+000	4.440540e-003	0.000000e+000	5.600000e-004	1.088909e+001
6.300000e+001	1.000000e+000	5.574860e-003	1.573659e-001	9.971793e-003	0.000000e+000	1.423706e-003	0.000000e+000	5.600000e-004	1.081744e+001
6.400000e+001	1.000000e+000	7.288738e-003	1.635635e-001	1.561974e-002	0.000000e+000	6.000305e-003	0.000000e+000	5.600000e-004	7.185071e+000
6.500000e+001	1.000000e+000	7.504597e-003	1.510542e-001	1.769058e-002	0.000000e+000	7.510980e-003	0.000000e+000	5.600000e-004	8.080447e+000
6.600000e+001	1.000000e+000	5.014798e-003	1.668133e-001	9.455159e-003	0.000000e+000	4.708100e-003	0.000000e+000	5.600000e-004	8.993187e+000
6.700000e+001	1.000000e+000	7.659025e-003	1.568107e-001	1.923254e-002	0.000000e+000	8.727630e-003	0.000000e+000	5.600000e-004	5.647250e+000
6.800000e+001	1.000000e+000	7.670415e-003	1.642793e-001	1.329701e-002	0.000000e+000	6.667964e-003	0.000000e+000	5.600000e-004	7.689913e+000
6.900000e+001	1.000000e+000	6.672322e-003	1.531286e-001	9.856446e-003	0.000000e+000	7.714699e-003	0.000000e+000	5.600000e-004	6.881060e+000
7.000000e+001	1.000000e+000	5.856092e-003	1.535458e-001	1.397251e-002	0.000000e+000	5.345692e-003	0.000000e+000	5.600000e-004	7.766459e+000
7.100000e+001	1.000000e+000	7.269158e-003	1.592657e-001	1.308374e-002	0.000000e+000	7.669901e-003	0.000000e+000	5.600000e-004	3.501498e+000
7.200000e+001	1.000000e+000	5.124608e-003	1.468305e-001	1.977574e-002	0.000000e+000	5.294731e-003	0.000000e+000	5.600000e-004	1.406849e+001
7.300000e+001	1.000000e+000	7.140986e-003	1.576198e-001	1.270279e-002	0.000000e+000	4.985876e-003	0.000000e+000	5.600000e-004	4.068327e+000
7.400000e+001	1.000000e+000	7.113428e-003	1.619757e-001	1.631127e-002	0.000000e+000	7.313105e-003	0.000000e+000	5.600000e-004	6.850587e+000
7.500000e+001	1.000000e+000	4.758210e-003	1.403387e-001	9.564813e-003	0.000000e+000	3.234609e-003	0.000000e+000	5.600000e-004	2.177624e+001
7.600000e+001	1.000000e+000	5.866513e-003	1.482109e-001	1.477190e-002	0.000000e+000	5.465681e-003	0.000000e+000	5.600000e-004	1.284093e+001
7.700000e+001	1.000000e+000	9.390796e-003	1.729234e-001	1.981153e-002	0.000000e+000	9.257172e-003	0.000000e+000	5.600000e-004	1.612979e+001
7.800000e+001	1.000000e+000	3.279888e-003	1.797463e-001	1.122819e-002	0.000000e+000	6.072169e-003	0.000000e+000	5.600000e-004	1.958860e+001
7.900000e+001	1.000000e+000	5.932615e-003	1.526304e-001	1.036604e-002	0.000000e+000	4.466203e-003	0.000000e+000	5.600000e-004	1.014911e+001
8.000000e+001	1.000000e+000	6.528075e-003	1.536379e-001	9.360202e-003	0.000000e+000	4.358248e-003	0.000000e+000	5.600000e-004	9.213184e+000
8.100000e+001	1.000000e+000	7.208480e-003	1.758481e-001	1.218560e-002	0.000000e+000	9.915872e-003	0.000000e+000	5.600000e-004	1.806765e+001
8.200000e+001	1.000000e+000	5.553385e-003	1.537847e-001	1.122940e-002	0.000000e+000	6.123797e-003	0.000000e+000	5.600000e-004	6.750672e+000
8.300000e+001	1.000000e+000	8.557535e-003	1.681191e-001	1.924096e-002	0.000000e+000	3.486126e-003	0.000000e+000	5.600000e-004	9.233598e+000
8.400000e+001	1.000000e+000	2.496861e-003	1.568890e-001	9.782533e-003	0.000000e+000	3.739263e-003	0.000000e+000	5.600000e-004	6.870015e+000
8.500000e+001	1.000000e+000	2.294266e-003	1.648980e-001	1.265522e-002	0.000000e+000	9.735801e-003	0.000000e+000	5.600000e-004	1.038237e+001
8.600000e+001	1.000000e+000	1.239799e-003	1.659473e-001	1.078812e-002	0.000000e+000	8.305518e-003	0.000000e+000	5.600000e-004	1.088565e+001
8.700000e+001	1.000000e+000	6.038437e-003	1.466055e-001	1.174147e-002	0.000000e+000	5.517492e-003	0.000000e+000	5.600000e-004	1.473774e+001
8.800000e+001	1.000000e+000	3.230309e-003	1.603249e-001	1.242679e-002	0.000000e+000	8.681223e-003	0.000000e+000	5.600000e-004	4.797457e+000
8.900000e+001	1.000000e+000	8.113939e-003	1.581210e-001	1.990881e-002	0.000000e+000	8.976919e-003	0.000000e+000	5.600000e-004	6.454093e+000
9.000000e+001	1.000000e+000	3.813270e-003	1.465517e-001	1.814544e-002	0.000000e+000	6.622209e-003	0.000000e+000	5.600000e-004	1.275060e+001
9.100000e+001	1.000000e+000	6.579320e-003	1.549589e-001	1.557703e-002	0.000000e+000	7.311133e-003	0.000000e+000	5.600000e-004	4.819086e+000
9.200000e+001	1.000000e+000	3.414420e-003	1.528387e-001	1.265894e-002	0.000000e+000	6.520944e-003	0.000000e+000	5.600000e-004	7.348760e+000
9.300000e+001	1.000000e+000	2.811423e-003	1.618763e-001	5.778806e-003	0.000000e+000	4.287349e-003	0.000000e+000	5.600000e-004	6.113217e+000
9.400000e+001	1.000000e+000	6.447124e-003	1.580771e-001	1.586911e-002	0.000000e+000	7.617560e-003	0.000000e+000	5.600000e-004	4.232636e+000
9.500000e+001	1.000000e+000	9.922295e-003	1.659630e-001	1.565619e-002	0.000000e+000	5.377344e-003	0.000000e+000	5.600000e-004	8.650915e+000
9.600000e+001	1.000000e+000	5.041389e-003	1.561198e-001	1.340825e-002	0.000000e+000	6.235044e-003	0.000000e+000	5.600000e-004	4.181216e+000
9.700000e+001	1.000000e+000	8.079580e-003	1.578188e-001	1.322133e-002	0.000000e+000	3.263879e-003	0.000000e+000	5.600000e-004	6.128913e+000
9.800000e+001	1.000000e+000	4.442627e-003	1.596983e-001	1.262542e-002	0.000000e+000	7.326887e-003	0.000000e+000	5.600000e-004	3.561586e+000
9.900000e+001	1.000000e+000	8.579746e-003	1.614848e-001	1.532813e-002	0.000000e+000	8.598548e-003	0.000000e+000	5.600000e-004	6.733111e+000
1.000000e+002	1.000000e+000	7.098564e-003	1.472517e-001	1.337133e-002	0.000000e+000	8.917433e-003	0.000000e+000	5.600000e-004	1.099039e+001
1.010000e+002	1.000000e+000	1.885824e-003	1.554628e-001	1.112326e-002	0.000000e+000	4.491198e-003	0.000000e+000	5.600000e-004	7.275473e+000
1.020000e+002	1.000000e+000	6.906265e-003	1.599793e-001	1.427691e-002	0.000000e+000	7.571710e-003	0.000000e+000	5.600000e-004	4.578870e+000
1.030000e+002	1.000000e+000	1.818585e-003	1.523802e-001	1.226727e-002	0.000000e+000	9.221862e-003	0.000000e+000	5.600000e-004	5.870356e+000
1.040000e+002	1.000000e+000	8.151928e-003	1.650992e-001	5.904119e-003	0.000000e+000	8.457586e-003	0.000000e+000	5.600000e-004	8.326093e+000
1.050000e+002	1.000000e+000	7.034019e-003	1.578192e-001	1.510309e-002	0.000000e+000	7.301818e-003	0.000000e+000	5.600000e-004	3.830176e+000
1.060000e+002	1.000000e+000	5.340635e-003	1.463370e-001	1.447157e-002	0.000000e+000	9.053336e-003	0.000000e+000	5.600000e-004	1.142083e+001
1.070000e+002	1.000000e+000	5.187164e-003	1.603442e-001	1.222308e-002	0.000000e+000	3.719818e-003	0.000000e+000	5.600000e-004	4.051200e+000
1.080000e+002	1.000000e+000	6.457583e-003	1.616329e-001	1.738504e-002	0.000000e+000	1.116955e-003	0.000000e+000	5.600000e-004	7.838177e+000
1.090000e+002	1.000000e+000	5.741144e-003	1.577926e-001	9.833534e-003	0.000000e+000	6.783391e-003	0.000000e+000	5.600000e-004	2.292884e+000
1.100000e+002	1.000000e+000	5.895034e-003	1.595003e-001	1.036523e-002	0.000000e+000	6.782648e-003	0.000000e+000	5.600000e-004	2.427026e+000
1.110000e+002	1.000000e+000	4.214079e-003	1.673045e-001	8.124038e-003	0.000000e+000	1.475299e-003	0.000000e+000	5.600000e-004	9.306112e+000
1.120000e+002	1.000000e+000	6.781962e-003	1.547437e-001	1.333837e-002	0.000000e+000	7.548439e-003	0.000000e+000	5.600000e-004	4.327162e+000
1.130000e+002	1.000000e+000	5.464491e-003	1.604718e-001	9.592740e-003	0.000000e+000	7.424859e-003	0.000000e+000	5.600000e-004	3.543136e+000
1.140000e+002	1.000000e+000	5.285382e-003	1.630483e-001	9.108922e-003	0.000000e+000	6.597919e-003	0.000000e+000	5.600000e-004	5.946908e+000
1.150000e+002	1.000000e+000	6.407817e-003	1.568198e-001	1.228101e-002	0.000000e+000	7.310809e-003	0.000000e+000	5.600000e-004	2.645732e+000
1.160000e+002	1.000000e+000	6.428345e-003	1.564678e-001	1.126782e-002	0.000000e+000	5.159170e-003	0.000000e+000	5.600000e-004	4.685296e+000
1.170000e+002	1.000000e+000	5.705454e-003	1.594708e-001	1.001151e-002	0.000000e+000	6.858437e-003	0.000000e+000	5.600000e-004	2.410623e+000
1.180000e+002	1.000000e+000	7.270959e-003	1.454598e-001	8.648615e-003	0.000000e+000	6.992516e-003	0.000000e+000	5.600000e-004	1.653942e+001
1.190000e+002	1.000000e+000	5.213055e-003	1.649638e-001	1.118847e-002	0.000000e+000	5.970185e-003	0.000000e+000	5.600000e-004	7.862731e+000
1.200000e+002	1.000000e+000	6.872575e-003	1.596137e-001	7.612452e-003	0.000000e+000	7.367788e-003	0.000000e+000	5.600000e-004	3.172415e+000
1.210000e+002	1.000000e+000	8.645203e-003	1.637074e-001	1.512124e-002	0.000000e+000	3.037855e-003	0.000000e+000	5.600000e-004	5.249211e+000
1.220000e+002	1.000000e+000	7.238855e-003	1.571706e-001	9.067860e-003	0.000000e+000	7.109607e-003	0.000000e+000	5.600000e-004	2.897539e+000
1.230000e+002	1.000000e+000	7.756460e-003	1.525020e-001	1.112699e-002	0.000000e+000	9.854087e-003	0.000000e+000	5.600000e-004	5.897532e+000
1.240000e+002	1.000000e+000	6.340080e-003	1.612904e-001	1.161350e-002	0.000000e+000	5.167930e-003	0.000000e+000	5.600000e-004	3.725718e+000
