TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	8.880734e-003	8.880734e-003	0.000000e+000	0.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	0.000000e+000	2.004103e-004	0.000000e+000	       NaN
2.000000e-003	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-6.786666e-021	2.004103e-004	6.786666e-021	       NaN
4.000000e-003	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-1.221600e-020	2.004103e-004	1.221600e-020	       NaN
6.000000e-003	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-2.171733e-020	2.004103e-004	2.171733e-020	       NaN
8.000000e-003	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-2.171733e-020	2.004103e-004	2.171733e-020	       NaN
1.000000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-1.628800e-020	2.004103e-004	1.628800e-020	       NaN
1.200000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-1.085867e-020	2.004103e-004	1.085867e-020	       NaN
1.400000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-1.764533e-020	2.004103e-004	1.764533e-020	       NaN
1.600000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-2.307466e-020	2.004103e-004	2.307466e-020	       NaN
1.800000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-9.501332e-021	2.004103e-004	9.501332e-021	       NaN
2.000000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-2.036000e-020	2.004103e-004	2.036000e-020	       NaN
2.200000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-2.443200e-020	2.004103e-004	2.443200e-020	       NaN
2.400000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-3.664799e-020	2.004103e-004	3.664799e-020	       NaN
2.600000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-1.764533e-020	2.004103e-004	1.764533e-020	       NaN
2.800000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-2.036000e-020	2.004103e-004	2.036000e-020	       NaN
3.000000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-3.529066e-020	2.004103e-004	3.529066e-020	       NaN
3.200000e-002	8.880734e-003	8.880734e-003	0.000000e+000	1.000000e+000	2.004095e-004	7.984829e-010	0.000000e+000	0.000000e+000	-1.628800e-020	2.004103e-004	1.628800e-020	       NaN
