RUN           	REACH         	DISPERSION    	AREA          	AREA2         	AREA3         	ALPHA         	ALPHA3        	QLATIN        	Objective Func
0.000000e+000	1.000000e+000	4.000000e-003	1.600000e-001	2.000000e-003	1.000000e-002	5.000000e-003	1.000000e-002	5.600000e-004	1.042580e+001
1.000000e+000	1.000000e+000	5.764777e-003	1.416327e-001	2.232996e-003	4.831807e-002	3.890218e-003	9.810554e-003	5.600000e-004	1.180305e+001
2.000000e+000	1.000000e+000	1.845173e-003	1.517575e-001	1.657701e-003	9.923403e-002	9.688851e-003	1.919808e-002	5.600000e-004	1.460562e+001
3.000000e+000	1.000000e+000	4.082922e-003	1.478307e-001	1.822047e-003	7.421569e-003	9.398420e-003	1.373771e-002	5.600000e-004	1.873745e+001
4.000000e+000	1.000000e+000	1.769166e-003	1.486520e-001	2.168001e-003	3.023154e-002	5.257641e-003	1.862053e-002	5.600000e-004	7.946163e+000
5.000000e+000	1.000000e+000	1.448396e-003	1.638134e-001	1.527836e-003	6.734069e-002	3.140218e-003	1.606321e-002	5.600000e-004	1.424947e+001
6.000000e+000	1.000000e+000	2.836807e-003	1.558665e-001	2.505922e-003	2.236247e-003	3.192306e-003	5.134439e-003	5.600000e-004	1.672602e+001
7.000000e+000	1.000000e+000	2.386698e-003	1.631829e-001	1.736731e-003	1.197164e-002	3.219797e-003	1.022722e-002	5.600000e-004	9.890850e+000
8.000000e+000	1.000000e+000	4.636450e-003	1.530567e-001	2.524451e-003	7.264677e-002	6.072297e-003	8.502578e-003	5.600000e-004	1.187788e+001
9.000000e+000	1.000000e+000	4.203675e-003	1.425586e-001	1.181584e-003	9.397385e-002	8.501435e-003	1.270224e-002	5.600000e-004	1.348908e+001
1.000000e+001	1.000000e+000	1.476735e-003	1.570242e-001	1.026716e-003	5.084932e-002	5.459294e-003	1.225562e-002	5.600000e-004	1.080559e+001
1.100000e+001	1.000000e+000	4.669277e-003	1.631563e-001	1.998586e-003	6.177786e-002	9.183404e-003	5.783536e-003	5.600000e-004	1.070839e+001
1.200000e+001	1.000000e+000	4.614591e-003	1.533889e-001	1.118040e-003	9.501664e-002	1.775643e-003	1.205379e-002	5.600000e-004	1.331979e+001
1.300000e+001	1.000000e+000	2.192429e-003	1.618659e-001	2.968265e-003	3.149870e-002	3.068159e-003	7.582740e-003	5.600000e-004	8.798340e+000
1.400000e+001	1.000000e+000	1.658764e-003	1.468647e-001	1.001084e-003	1.158706e-002	4.334109e-003	8.956632e-003	5.600000e-004	1.599157e+001
1.500000e+001	1.000000e+000	4.834026e-003	1.521682e-001	1.817773e-003	1.582483e-002	7.243104e-003	1.473477e-002	5.600000e-004	9.823039e+000
1.600000e+001	1.000000e+000	3.939596e-003	1.546151e-001	1.925392e-003	5.344222e-002	2.426404e-003	1.596024e-002	5.600000e-004	1.150555e+001
1.700000e+001	1.000000e+000	4.563938e-003	1.507086e-001	1.395189e-003	9.671115e-002	8.395051e-003	1.769420e-002	5.600000e-004	1.416036e+001
1.800000e+001	1.000000e+000	3.327751e-003	1.462927e-001	1.890832e-003	1.137162e-002	5.513679e-003	5.669589e-003	5.600000e-004	1.622575e+001
1.900000e+001	1.000000e+000	2.875754e-003	1.596812e-001	1.570580e-003	8.702249e-002	2.421643e-003	1.760349e-002	5.600000e-004	1.481972e+001
2.000000e+001	1.000000e+000	5.545048e-003	1.546427e-001	2.946247e-003	2.937295e-002	7.528707e-003	1.995501e-002	5.600000e-004	8.985115e+000
2.100000e+001	1.000000e+000	1.310514e-003	1.570615e-001	1.226019e-003	3.512016e-002	7.840803e-003	1.728656e-002	5.600000e-004	9.763830e+000
2.200000e+001	1.000000e+000	5.248325e-003	1.553069e-001	2.000518e-003	8.532047e-002	3.867884e-003	1.421278e-002	5.600000e-004	1.350249e+001
2.300000e+001	1.000000e+000	3.064067e-003	1.411148e-001	1.887708e-003	8.525892e-002	2.389819e-003	1.114837e-002	5.600000e-004	1.326041e+001
2.400000e+001	1.000000e+000	1.083475e-003	1.508775e-001	2.495747e-003	5.139280e-002	6.321100e-003	1.787270e-002	5.600000e-004	1.095593e+001
2.500000e+001	1.000000e+000	3.679847e-003	1.600061e-001	2.361501e-003	3.738772e-002	1.350144e-003	1.810954e-002	5.600000e-004	1.153316e+001
2.600000e+001	1.000000e+000	4.983748e-003	1.543376e-001	2.715958e-003	5.725065e-003	9.744623e-003	6.474898e-003	5.600000e-004	1.487569e+001
2.700000e+001	1.000000e+000	4.045950e-003	1.470072e-001	1.600552e-003	6.599017e-002	6.901165e-003	1.396251e-002	5.600000e-004	1.183472e+001
2.800000e+001	1.000000e+000	3.723464e-003	1.447764e-001	1.136651e-003	3.516122e-002	6.854283e-003	1.321550e-002	5.600000e-004	9.849309e+000
2.900000e+001	1.000000e+000	2.220782e-003	1.491815e-001	2.121339e-003	1.794261e-002	5.839795e-003	5.729488e-003	5.600000e-004	1.261823e+001
3.000000e+001	1.000000e+000	4.866663e-003	1.470542e-001	2.116003e-003	3.866177e-002	4.804287e-003	1.261245e-002	5.600000e-004	9.487903e+000
3.100000e+001	1.000000e+000	3.116417e-003	1.467563e-001	1.261473e-003	2.879359e-002	2.110909e-003	1.339942e-002	5.600000e-004	8.907732e+000
3.200000e+001	1.000000e+000	2.432888e-003	1.479488e-001	2.600891e-003	8.794927e-003	5.599512e-003	9.984814e-003	5.600000e-004	1.587203e+001
3.300000e+001	1.000000e+000	2.655894e-003	1.441953e-001	1.250147e-003	1.306520e-002	8.150101e-003	1.231919e-002	5.600000e-004	1.611135e+001
3.400000e+001	1.000000e+000	3.618671e-003	1.520102e-001	1.756581e-003	4.334797e-002	3.857329e-003	1.504998e-002	5.600000e-004	9.763303e+000
3.500000e+001	1.000000e+000	2.363325e-003	1.479376e-001	1.638876e-003	7.957644e-002	7.127402e-003	1.373414e-002	5.600000e-004	1.272284e+001
