TIME          	MC CONC       	STS CONC      	HTS CONC      	SED CONC      	ADV dm/dt     	DISP dm/dt    	DECAY dm/dt   	SORPTION dm/dt	STORAGE dm/dt 	MC dm/dt      	STS dm/dt     	HTS dm/dt     
(hr)          	mg/L          	mg/L          	mg/L          	mg/L          	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  	(mg/L)·(m²/s)  
0.000000e+000	4.523788e-003	4.523788e-003	4.523788e-003	0.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	0.000000e+000	6.014846e-004	0.000000e+000	0.000000e+000
2.000000e-003	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	-4.503168e-019	6.014846e-004	4.327093e-019	1.760757e-020
4.000000e-003	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	-4.763315e-019	6.014846e-004	4.645931e-019	1.173838e-020
6.000000e-003	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	-4.769735e-019	6.014846e-004	4.691479e-019	7.825585e-021
8.000000e-003	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	-5.004200e-019	6.014846e-004	4.828124e-019	1.760757e-020
1.000000e-002	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	1.152797e-018	6.014846e-004	-9.610701e-019	-1.917268e-019
1.200000e-002	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220606e-007	0.000000e+000	0.000000e+000	3.953471e-016	6.014846e-004	-3.524394e-016	-4.290768e-017
1.400000e-002	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220605e-007	0.000000e+000	0.000000e+000	2.265448e-014	6.014846e-004	-2.054001e-014	-2.114471e-015
1.600000e-002	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013625e-004	1.220585e-007	0.000000e+000	0.000000e+000	4.797003e-013	6.014846e-004	-4.407955e-013	-3.890476e-014
1.800000e-002	4.523788e-003	4.523788e-003	4.523788e-003	1.000000e+000	6.013624e-004	1.220419e-007	0.000000e+000	0.000000e+000	5.050506e-012	6.014845e-004	-4.689951e-012	-3.605549e-013
2.000000e-002	4.523784e-003	4.523787e-003	4.523784e-003	1.000000e+000	6.013618e-004	1.219599e-007	0.000000e+000	0.000000e+000	3.220074e-011	6.014838e-004	-3.014808e-011	-2.052663e-012
2.200000e-002	4.523767e-003	4.523779e-003	4.523769e-003	1.000000e+000	6.013594e-004	1.216782e-007	0.000000e+000	0.000000e+000	1.421533e-010	6.014812e-004	-1.339470e-010	-8.206315e-012
2.400000e-002	4.523709e-003	4.523752e-003	4.523715e-003	1.000000e+000	6.013512e-004	1.209395e-007	0.000000e+000	0.000000e+000	4.765528e-010	6.014726e-004	-4.513142e-010	-2.523861e-011
2.600000e-002	4.523555e-003	4.523672e-003	4.523569e-003	1.000000e+000	6.013294e-004	1.193697e-007	0.000000e+000	0.000000e+000	1.293512e-009	6.014501e-004	-1.230003e-009	-6.350858e-011
2.800000e-002	4.523214e-003	4.523475e-003	4.523242e-003	1.000000e+000	6.012818e-004	1.172452e-007	0.000000e+000	0.000000e+000	2.866343e-009	6.014020e-004	-2.740930e-009	-1.254126e-010
3.000000e-002	4.523015e-003	4.523170e-003	4.522983e-003	1.000000e+000	6.012595e-004	1.354609e-007	0.000000e+000	0.000000e+000	1.481460e-009	6.013964e-004	-1.624393e-009	1.429322e-010
3.200000e-002	4.530582e-003	4.524885e-003	4.529360e-003	1.000000e+000	6.023890e-004	4.292774e-007	0.000000e+000	0.000000e+000	-6.534900e-008	6.027529e-004	5.983725e-008	5.511748e-009
3.400000e-002	4.611105e-003	4.551177e-003	4.600575e-003	1.000000e+000	6.141493e-004	2.564302e-006	0.000000e+000	0.000000e+000	-6.769119e-007	6.160367e-004	6.294113e-007	4.750056e-008
3.600000e-002	5.094349e-003	4.736339e-003	5.038776e-003	1.000000e+000	6.838847e-004	1.229885e-005	0.000000e+000	0.000000e+000	-4.010774e-006	6.921727e-004	3.760076e-006	2.506980e-007
3.800000e-002	7.114716e-003	5.613325e-003	6.904346e-003	1.000000e+000	9.726866e-004	4.395580e-005	0.000000e+000	0.000000e+000	-1.671772e-005	9.999246e-004	1.576871e-005	9.490118e-007
4.000000e-002	1.358393e-002	8.734410e-003	1.296181e-002	1.000000e+000	1.890088e-003	1.237609e-004	0.000000e+000	0.000000e+000	-5.373973e-005	1.960109e-003	5.093324e-005	2.806488e-006
4.200000e-002	3.046302e-002	1.765370e-002	2.894110e-002	1.000000e+000	4.267381e-003	2.890063e-004	0.000000e+000	0.000000e+000	-1.413984e-004	4.414988e-003	1.345328e-004	6.865616e-006
4.400000e-002	6.795969e-002	3.909570e-002	6.475266e-002	1.000000e+000	9.517063e-003	5.817341e-004	0.000000e+000	0.000000e+000	-3.176181e-004	9.781179e-003	3.031508e-004	1.446737e-005
4.600000e-002	1.411880e-001	8.395867e-002	1.351934e-001	1.000000e+000	1.971537e-002	1.038383e-003	0.000000e+000	0.000000e+000	-6.281070e-004	2.012565e-002	6.010644e-004	2.704266e-005
4.800000e-002	2.699330e-001	1.677595e-001	2.597745e-001	1.000000e+000	3.756096e-002	1.678665e-003	0.000000e+000	0.000000e+000	-1.118927e-003	3.812070e-002	1.073101e-003	4.582666e-005
5.000000e-002	4.773995e-001	3.102377e-001	4.615338e-001	1.000000e+000	6.619583e-002	2.497146e-003	0.000000e+000	0.000000e+000	-1.827227e-003	6.686575e-002	1.755655e-003	7.157236e-005
5.200000e-002	7.880858e-001	5.340447e-001	7.649577e-001	1.000000e+000	1.089104e-001	3.459876e-003	0.000000e+000	0.000000e+000	-2.772460e-003	1.095978e-001	2.668126e-003	1.043341e-004
5.400000e-002	1.225125e+000	8.626686e-001	1.193344e+000	1.000000e+000	1.687804e-001	4.506735e-003	0.000000e+000	0.000000e+000	-3.950146e-003	1.693370e-001	3.806779e-003	1.433670e-004
5.600000e-002	1.807527e+000	1.317914e+000	1.766040e+000	1.000000e+000	2.482967e-001	5.558659e-003	0.000000e+000	0.000000e+000	-5.329434e-003	2.485259e-001	5.142279e-003	1.871552e-004
5.800000e-002	2.547757e+000	1.917332e+000	2.495984e+000	1.000000e+000	3.490428e-001	6.527892e-003	0.000000e+000	0.000000e+000	-6.854739e-003	3.487159e-001	6.621185e-003	2.335541e-004
6.000000e-002	3.449964e+000	2.671988e+000	3.387892e+000	1.000000e+000	4.714668e-001	7.329108e-003	0.000000e+000	0.000000e+000	-8.450886e-003	4.703451e-001	8.170873e-003	2.800123e-004
6.200000e-002	4.509074e+000	3.584857e+000	4.437289e+000	1.000000e+000	6.147700e-001	7.889443e-003	0.000000e+000	0.000000e+000	-1.003064e-002	6.126288e-001	9.706804e-003	3.238310e-004
6.400000e-002	5.710789e+000	4.650033e+000	5.630450e+000	1.000000e+000	7.769175e-001	8.156049e-003	0.000000e+000	0.000000e+000	-1.150326e-002	7.735703e-001	1.114084e-002	3.624205e-004
6.600000e-002	7.032409e+000	5.852777e+000	6.945175e+000	1.000000e+000	9.547605e-001	8.100443e-003	0.000000e+000	0.000000e+000	-1.278288e-002	9.500780e-001	1.238936e-002	3.935220e-004
