RUN           	REACH         	DISPERSION    	AREA          	AREA2         	AREA3         	ALPHA         	ALPHA3        	QLATIN        	Objective Func
0.000000e+000	1.000000e+000	5.000000e-003	1.600000e-001	8.000000e-002	1.100000e-002	5.000000e-002	7.800000e-003	5.600000e-004	1.804618e+001
1.000000e+000	1.000000e+000	3.927100e-002	1.301759e-001	6.508795e-002	5.038844e-002	9.530024e-001	1.612465e-002	5.600000e-004	1.531323e+001
2.000000e+000	1.000000e+000	3.120840e-002	2.913570e-001	1.456785e-001	6.628442e-001	4.811030e-001	8.534829e-003	5.600000e-004	1.773024e+001
3.000000e+000	1.000000e+000	2.404469e-002	2.041461e-001	1.020730e-001	6.535446e-001	3.295218e-001	4.961586e-002	5.600000e-004	1.761812e+001
4.000000e+000	1.000000e+000	2.954319e-002	6.739088e-002	3.369544e-002	1.119140e-001	3.139141e-001	2.061007e-002	5.600000e-004	1.768731e+001
5.000000e+000	1.000000e+000	2.418049e-002	1.960002e-001	9.800008e-002	2.126725e-001	9.081271e-001	1.736944e-002	5.600000e-004	1.815266e+001
6.000000e+000	1.000000e+000	5.394279e-003	2.881339e-001	1.440669e-001	1.884231e-001	2.385642e-001	3.690360e-002	5.600000e-004	1.762466e+001
7.000000e+000	1.000000e+000	3.391652e-002	5.224065e-002	2.612033e-002	4.460896e-001	3.679941e-001	1.225512e-002	5.600000e-004	2.186260e+001
8.000000e+000	1.000000e+000	3.789509e-002	1.116610e-001	5.583052e-002	2.471946e-001	1.843226e-002	1.393925e-002	5.600000e-004	1.553360e+001
9.000000e+000	1.000000e+000	4.643839e-002	2.318225e-001	1.159113e-001	3.966941e-001	3.689969e-001	5.853114e-003	5.600000e-004	1.829963e+001
1.000000e+001	1.000000e+000	1.244176e-002	2.312733e-001	1.156366e-001	4.503108e-001	5.227460e-001	3.813506e-002	5.600000e-004	1.762757e+001
1.100000e+001	1.000000e+000	4.184115e-002	7.269797e-002	3.634899e-002	6.579078e-001	5.139691e-001	5.206951e-003	5.600000e-004	2.318035e+001
1.200000e+001	1.000000e+000	5.671998e-003	2.202418e-001	1.101209e-001	1.428373e-002	4.959816e-001	2.423703e-002	5.600000e-004	2.391517e+001
1.300000e+001	1.000000e+000	2.579514e-002	6.305894e-002	3.152947e-002	6.487444e-001	7.341216e-001	4.547243e-002	5.600000e-004	1.710089e+001
1.400000e+001	1.000000e+000	2.546535e-002	7.154564e-002	3.577282e-002	3.318256e-001	6.162420e-001	3.617362e-002	5.600000e-004	1.666388e+001
1.500000e+001	1.000000e+000	2.724215e-002	1.096214e-001	5.481072e-002	1.647078e-001	5.996103e-002	4.750081e-002	5.600000e-004	1.564754e+001
1.600000e+001	1.000000e+000	9.436952e-003	1.278862e-001	6.394309e-002	9.656824e-002	8.747600e-001	4.920820e-002	5.600000e-004	1.807843e+001
1.700000e+001	1.000000e+000	1.915237e-002	5.013553e-002	2.506777e-002	8.244231e-002	2.645117e-001	1.380194e-002	5.600000e-004	2.100999e+001
1.800000e+001	1.000000e+000	3.857345e-002	1.716816e-001	8.584079e-002	2.891761e-001	6.939845e-001	3.248434e-002	5.600000e-004	1.781797e+001
